Subject_ID,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5
Subject_1,1.011376,0.7178342,-0.29246998,0.89505666,-0.76675713
Subject_2,-1.7654839,-1.919956,1.0059888,0.2299494,0.36781916
Subject_3,-0.059068874,0.047912896,1.2918797,-0.4826482,0.08149591
Subject_4,-1.1552967,-1.2057303,-1.8860911,-0.7873069,-0.5536056
Subject_5,-2.5125353,0.27789924,1.3877357,1.0020298,-0.35697454
Subject_6,-0.29605883,-0.38758048,1.150472,-1.5057474,-0.7319565
Subject_7,-0.85701406,-0.561519,0.42908552,-0.139421,1.4574932
Subject_8,-1.3665216,-1.3545017,-0.03397146,-0.4862479,0.46448112
Subject_9,-1.3063725,-0.7394832,-1.6503612,0.8390435,-0.5203804
Subject_10,-0.059003178,-0.5938718,0.43242964,-0.12014469,0.27237025
Subject_11,-1.040513,-0.012106247,-0.5934489,2.0287812,-0.9440196
Subject_12,0.9529758,-0.7751691,-1.4660646,1.1051365,1.7994132
Subject_13,-3.0019016,-1.669494,-0.096866034,0.7350613,-0.78647244
Subject_14,1.0072002,1.4785701,-0.61903065,-1.1032436,-0.45017356
Subject_15,0.9847364,0.9695569,-1.6160443,0.4462511,-0.5448578
Subject_16,-1.6145108,-1.6363168,1.1154362,1.4089054,-0.6116475
Subject_17,1.2446147,1.0945686,0.87234014,0.48699704,-0.22850233
Subject_18,0.8574306,1.3937172,0.3664062,2.5963743,0.29610297
Subject_19,1.8581426,0.84713626,0.11944289,0.30670303,0.96488
Subject_20,-0.5497545,-1.1245925,-0.7827935,1.5440924,1.0628606
Subject_21,0.042895623,-0.014393014,0.57310927,1.2036093,-0.5901864
Subject_22,1.2803688,1.1234949,-0.019587545,1.0156522,-1.1347522
Subject_23,0.7756003,0.6408533,-0.013614115,-0.6510268,0.7023068
Subject_24,1.5489355,0.45365062,-0.28010532,-0.5903689,-1.1534373
Subject_25,-0.97428906,-0.52693945,0.2094667,0.39188978,-0.67580557
Subject_26,1.9375412,1.6381549,-1.0454776,-0.92636245,-0.7792626
Subject_27,0.6941676,1.6512488,-0.48226607,-0.65325445,0.7130218
Subject_28,0.6336878,-0.70122325,-0.99327767,1.0988275,0.31044194
Subject_29,0.9832358,2.1340785,-1.3575882,-0.6866922,-0.33654132
Subject_30,-2.2220137,-1.4560106,0.4279138,0.46551895,0.26831815
Subject_31,0.7195729,-0.58361375,-0.1590434,1.7084357,0.718527
Subject_32,-1.4148046,-1.0179513,0.75368375,0.020854073,1.9415659
Subject_33,0.1828488,1.0619617,-0.8422853,2.1686811,-0.28881386
Subject_34,1.4303052,0.46054423,-1.6021963,-1.0165322,1.4827766
Subject_35,2.2986686,0.67988205,2.07947,-0.5698362,0.64448655
Subject_36,-0.1481685,-1.1146497,-0.61990714,-0.1453471,0.19807936
Subject_37,0.24471544,0.1211983,0.83594507,-1.6118736,0.37468857
Subject_38,-0.95640075,-0.39218843,0.13240987,-0.47829396,-0.38411343
Subject_39,-0.22530411,-0.8191198,0.16412763,-0.9354566,0.65855414
Subject_40,0.064343125,0.46052697,0.5970197,0.19740324,-0.34385544
Subject_41,-1.1262877,-0.6062328,-0.042937905,0.20964603,-0.021976965
Subject_42,-0.35134798,1.8554965,0.28548867,-1.3359706,-0.825558
Subject_43,-0.75616264,-1.2921016,-0.40956596,1.1601839,-0.23211429
Subject_44,0.48117024,1.8073876,-0.73913056,-0.05932491,0.098373406
Subject_45,-1.2829665,-0.96967965,0.26178405,0.72803116,-0.24310529
Subject_46,-1.0426509,-2.0453663,1.2197324,0.6655703,0.79440254
Subject_47,2.7596443,-0.71570766,0.79173785,-0.040630333,-0.9460208
Subject_48,0.6540721,-0.24121422,-0.1944401,1.0112497,-0.47826788
Subject_49,-0.4518784,-1.1166245,0.46843338,-1.5182455,1.203969
Subject_50,1.9027898,-0.8420703,0.42182863,1.5134465,1.046741
Subject_51,1.878491,1.6340382,-0.4463563,0.93761796,-0.42174748
Subject_52,-0.45672306,-0.07856843,-0.24757887,1.2915276,1.6393842
Subject_53,0.8168444,0.47613317,-0.2250907,-0.6905031,-0.595127
Subject_54,2.768428,0.46957257,-0.1765526,-0.98545015,0.21058147
Subject_55,-1.7125211,-2.5045235,0.21189053,-0.0074022715,-0.8590691
Subject_56,1.0720885,0.66369355,0.53845227,-0.1414088,0.20299067
Subject_57,-0.12716994,-0.90649664,-0.9960605,-0.29166898,1.2446074
Subject_58,-1.1119347,-0.6238157,0.37463632,0.24089408,0.88480157
Subject_59,-1.1351001,-0.23789409,1.3957102,-0.85975885,0.5414486
Subject_60,-0.53898686,-2.1316798,-0.42808205,-0.22787517,2.0621886
Subject_61,0.3108301,0.48144114,-1.6415745,2.1118047,-0.84298503
Subject_62,1.4506696,1.0861326,1.654972,-0.67067105,0.205787
Subject_63,0.332173,0.90575194,0.20321785,-0.024251752,-2.7281632
Subject_64,-0.5857029,-0.6022747,2.6706166,-0.67249984,-0.14673781
Subject_65,1.1746861,-1.0793121,-0.0003662148,1.2484776,0.50087357
Subject_66,0.7981745,1.0240958,2.6381056,0.5100661,-0.7441935
Subject_67,0.04601787,-0.11718114,-0.25100914,0.16674462,-0.5951912
Subject_68,0.8585893,1.2794448,-0.28569445,-0.036203854,-0.11674849
Subject_69,1.6732059,1.5108616,-0.4146796,-0.4769345,0.8066928
Subject_70,-1.0249546,-0.7294572,0.9308046,1.2610606,0.32055587
Subject_71,0.88490695,-0.4940079,0.72040284,-0.3681379,1.0320445
Subject_72,-0.15113786,-1.83027,0.054653242,-1.0426456,-0.69583434
Subject_73,-0.14023452,0.79060465,-0.44978762,0.6142877,-0.8240595
Subject_74,-1.1097814,-1.7902067,1.1173712,1.143926,0.17453296
Subject_75,0.53803504,1.1992208,0.6285102,-0.534464,0.91292423
Subject_76,-0.76042116,-1.1558436,-1.2723126,-1.0545644,-1.0977119
Subject_77,-0.48232213,-1.1033338,-0.11155166,-1.1617805,-0.6745966
Subject_78,-0.4770357,-1.1642474,-0.8400882,0.15980858,0.3450174
Subject_79,1.920943,1.4999628,-0.056654584,-0.34513792,-0.900305
Subject_80,-1.1569722,-1.8393686,2.1803696,-0.11880887,-0.19248945
Subject_81,-0.63988096,1.6994952,-1.4089497,-0.3541605,-0.45405206
Subject_82,2.1743255,1.1568311,1.0005647,1.7176969,1.1117008
Subject_83,1.7480423,0.6938929,-1.4074268,0.25411978,0.32084084
Subject_84,-1.0804785,-1.4894273,-1.6850051,0.43311915,-2.644146
Subject_85,-1.0644939,-2.3886623,0.45462483,-0.34421146,0.45714888
Subject_86,0.7209966,-1.1253753,1.3524078,-1.6211582,0.17674898
