Subject_ID,Factor_1,Factor_2,Factor_3
Subject_1,0.5555003,-0.6310031,-1.2651335
Subject_2,-0.3256399,0.049053106,-0.17472482
Subject_3,0.12843728,0.61119705,-0.19119926
Subject_4,0.42280212,-1.1755618,1.0074936
Subject_5,1.8828465,1.0832304,1.0184816
Subject_6,-0.17046623,0.6420514,-0.13079679
Subject_7,1.811925,0.90686446,-0.1290052
Subject_8,-1.9602448,0.26686865,-0.13305348
Subject_9,0.012030015,-0.5810131,0.22549182
Subject_10,-0.6756972,-0.21777152,-0.44804215
Subject_11,0.051858597,0.5250872,-0.31731567
Subject_12,-0.7032417,-1.402791,-0.15075266
Subject_13,-1.5760584,4.042264,0.4615638
Subject_14,0.7757169,-0.92921656,-2.105384
Subject_15,-0.8263414,-0.20844287,-0.30170035
Subject_16,-0.5668757,0.30001464,0.47034037
Subject_17,-1.4370825,1.0946761,-0.6527389
Subject_18,-1.662816,0.78464305,0.45773703
Subject_19,-1.508643,0.24258268,0.9128274
Subject_20,0.3665051,0.46326447,1.7505441
Subject_21,-0.35778266,0.6799189,0.5564506
Subject_22,-0.30078065,1.0138373,0.12557948
Subject_23,-4.2030773,-0.8460429,-0.08138167
Subject_24,0.4127736,-0.7499646,-0.42977402
Subject_25,0.29635683,0.67966324,-0.34202957
Subject_26,-0.8509981,-0.3092356,-0.6342186
Subject_27,1.3711864,0.32051563,1.3533655
Subject_28,0.1667932,-0.99451154,-0.75444967
Subject_29,2.6373074,-0.21386363,-0.62509394
Subject_30,0.7403244,0.9034595,0.5457016
Subject_31,0.46584982,0.21825613,-0.02465872
Subject_32,-1.4048513,-1.1254824,0.5168012
Subject_33,1.0608124,0.5860201,-0.2482774
Subject_34,-1.8693548,-0.27548188,0.4228288
Subject_35,0.6370478,-0.10134155,0.48214388
Subject_36,-0.28571108,0.9474435,2.3223567
Subject_37,0.22802158,2.003504,-0.346865
Subject_38,-0.5542404,1.2653434,0.3092403
Subject_39,-0.38395658,0.7727825,0.9409408
Subject_40,0.44572043,-1.0561069,0.85316074
Subject_41,1.801543,1.2617196,0.4402647
Subject_42,1.3796804,1.0298334,0.51173246
Subject_43,0.103279054,-0.3295735,0.48878843
Subject_44,-0.18616377,1.0676547,0.1999466
Subject_45,0.015277086,1.5870492,0.0278427
Subject_46,-0.5904509,1.1924194,0.6765882
Subject_47,-0.1184254,-1.1320288,1.6381574
Subject_48,-0.52222085,0.8118104,0.061489444
Subject_49,-0.62997377,-0.57561445,1.9493062
Subject_50,-0.39666915,0.63068056,0.21180327
Subject_51,0.117375694,0.7356316,1.5665021
Subject_52,-0.32687095,-0.97255933,0.49508995
Subject_53,-1.4477106,-1.0565301,-0.29978287
Subject_54,0.2322477,-4.0114117,-0.54913354
Subject_55,-0.15513556,2.5777988,0.6284037
Subject_56,-0.36382154,0.6178432,-2.2079883
Subject_57,0.29185882,-1.7726101,-0.36286005
Subject_58,0.7443917,1.454924,1.5623344
Subject_59,0.62019014,-0.4664747,-0.052273225
Subject_60,0.5716075,2.1686137,-0.23079593
Subject_61,-0.20517734,1.7721088,0.46796367
Subject_62,-0.6060212,0.19549204,-0.0044186995
Subject_63,1.6159707,0.04874686,0.5181348
Subject_64,1.425727,0.87750137,0.48662025
Subject_65,-0.8542145,1.5111399,1.3060343
Subject_66,0.646255,1.0885834,0.05078532
Subject_67,-0.75263554,-1.2757567,0.74447644
Subject_68,0.24015452,0.34428957,0.8165342
Subject_69,-1.4755282,0.27634263,-0.6663245
Subject_70,0.6736236,-0.22118136,-0.21837139
Subject_71,0.44720092,0.30404344,-0.1098625
Subject_72,0.39489853,0.42839998,0.29104385
Subject_73,0.15215656,-0.5388134,-1.5969108
Subject_74,0.5225649,-0.8301135,0.34606275
Subject_75,-0.08347775,0.6680323,0.26435187
Subject_76,-0.040288996,-0.518381,2.1420765
Subject_77,-1.4576393,1.4918115,0.5451791
Subject_78,-0.16985162,-0.7958385,0.87613845
Subject_79,1.5118772,-1.4666071,-1.7185417
Subject_80,-0.18030772,-0.5787656,0.086998865
Subject_81,0.7928857,-1.4058322,-0.80258036
Subject_82,0.46655172,-1.345525,-1.5167296
Subject_83,0.11252748,-0.9813782,1.0427182
Subject_84,-0.3023752,0.9071783,0.25417975
Subject_85,0.56232,0.7644039,0.033736713
Subject_86,-0.89568096,1.8005155,0.21787481
