Subject_ID,Factor_1,Factor_2,Factor_3
Subject_1,0.9211525,-1.424536,0.36456117
Subject_2,-0.7615732,-2.5705411,-0.07547239
Subject_3,0.53325605,2.0407026,-0.17952815
Subject_4,0.08046636,-0.25844157,1.8829331
Subject_5,1.0511274,-0.42120555,0.5390208
Subject_6,-0.16196565,-0.055543225,-0.065529265
Subject_7,-1.429237,0.0478713,-0.39580035
Subject_8,1.3244363,-0.36746797,-0.08672385
Subject_9,0.19621223,0.15643588,-0.24135748
Subject_10,0.87543255,0.8608679,0.023106642
Subject_11,-0.85525393,-0.36228094,-0.09485646
Subject_12,-0.33085924,0.6341955,1.3156774
Subject_13,0.7178407,-0.2924526,-0.019537104
Subject_14,-2.1694973,0.57902896,1.2535101
Subject_15,-0.63595897,-0.34011617,0.095532164
Subject_16,-0.48585147,-0.48675436,0.093555026
Subject_17,-1.0690935,-1.0801752,-0.2913137
Subject_18,-0.48514548,-0.21050078,-0.32182044
Subject_19,0.13978526,-1.3351805,1.0158875
Subject_20,1.31449,0.6308069,2.2634974
Subject_21,-2.5758224,-0.5923585,-2.061785
Subject_22,0.88148177,-0.47350383,0.57838064
Subject_23,-1.3455113,1.5646783,0.081080385
Subject_24,-0.7983618,1.5034941,-0.74923027
Subject_25,-0.7003464,0.14310496,-0.3185066
Subject_26,-1.2847158,1.0881301,-0.12090452
Subject_27,0.1035662,0.95039046,0.09142116
Subject_28,0.7425347,-2.1293652,-0.788283
Subject_29,-2.2533894,0.36042947,-0.2228355
Subject_30,-2.0440776,-1.684264,0.194953
Subject_31,0.60464936,-1.3074474,1.5796007
Subject_32,-0.6688658,-1.0452893,0.2037356
Subject_33,1.249389,-0.85010874,-0.79567
Subject_34,0.8330665,0.60791606,-0.35776526
Subject_35,-0.598101,-0.3537433,0.3172578
Subject_36,0.7471032,0.7213648,2.487136
Subject_37,-0.23694947,-1.0304757,-0.17111339
Subject_38,-0.14435977,-1.11394,-0.10412225
Subject_39,-0.31725308,0.24047652,0.23729974
Subject_40,-1.9438162,0.2955045,1.0893676
Subject_41,1.0876195,0.12046247,-0.722789
Subject_42,0.81372255,1.123191,0.00411431
Subject_43,0.7407746,-0.3295298,0.15976296
Subject_44,1.3074173,-1.4406501,0.17123394
Subject_45,-0.10252947,-0.34741724,0.8058729
Subject_46,-0.95502394,0.16263829,-1.0091844
Subject_47,0.79377395,1.1019275,0.4988149
Subject_48,0.54374176,-1.2097937,-0.48868215
Subject_49,0.4871284,-0.081311256,3.1130419
Subject_50,1.0180038,-0.610433,-0.050538603
Subject_51,2.400797,0.063301295,1.2036699
Subject_52,-0.09058742,0.20979628,0.5658177
Subject_53,-2.1374097,1.174336,1.3460659
Subject_54,-0.9769631,-0.94038516,-0.28992316
Subject_55,0.5610954,-0.63472456,-0.007105147
Subject_56,-0.95654637,-0.40480536,1.8283466
Subject_57,-0.6984559,-1.0870802,-0.1810076
Subject_58,0.040964823,0.78730774,-1.3645698
Subject_59,0.17980172,0.6757715,-0.46746755
Subject_60,-0.035709128,0.38998866,1.5566378
Subject_61,0.47988802,0.5750974,0.40333396
Subject_62,-0.2653672,-0.77677405,-0.07544811
Subject_63,1.0582002,-0.25527683,0.023212377
Subject_64,-0.28660685,0.90745467,0.1370402
Subject_65,1.0815946,-0.0069073583,0.16976057
Subject_66,0.40875927,1.0693903,0.7764083
Subject_67,0.4753503,0.8431579,1.2328469
Subject_68,0.53384054,-0.59962416,1.6871046
Subject_69,1.2573525,-0.39479762,-0.43655518
Subject_70,-0.31220707,-0.2481829,-0.18845624
Subject_71,0.74065524,0.45131257,-0.14935881
Subject_72,1.6943954,-1.4210696,1.1445123
Subject_73,-0.35836163,0.44181326,-0.75125974
Subject_74,-1.1463864,-1.2059461,0.15275364
Subject_75,1.1413192,2.3189049,0.36570466
Subject_76,-0.9488843,-1.1197501,1.3251625
Subject_77,1.3790587,1.2704182,1.1054137
Subject_78,0.55786836,-0.05038263,0.5413374
Subject_79,0.5109077,-0.59287935,-1.6821331
Subject_80,-1.2468214,0.64867,-0.27627498
Subject_81,-0.07447752,-0.40374148,-0.04921485
Subject_82,-0.99426395,-0.86559093,1.3734802
Subject_83,-0.196484,-1.8539511,3.1990314
Subject_84,1.3423352,-0.45074952,0.121556476
Subject_85,0.9965434,-1.2764277,-0.0654012
Subject_86,-0.53751314,-1.0857071,-0.038424812
