Subject_ID,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5
Subject_1,1.6988485,1.0252879,-1.215698,0.3918506,1.5984144
Subject_2,-0.39021775,0.12942618,0.07403622,-1.2470181,-0.16708106
Subject_3,0.96796125,0.7577916,0.22272485,1.7073087,0.24350403
Subject_4,0.550914,-1.7137794,-2.045471,-0.4493359,-1.2169385
Subject_5,0.28689864,-1.0498005,-0.32379538,-0.0027342816,-0.17019573
Subject_6,-0.7549955,-1.148179,0.8585202,0.14115812,0.07290401
Subject_7,-0.9054323,1.1794528,0.4714933,-0.028302522,0.33166707
Subject_8,-0.8253879,0.45154807,1.476848,2.433042,-1.1194457
Subject_9,-0.6950599,1.9802313,1.8024868,-0.15580694,0.13832738
Subject_10,0.31318545,1.3730519,-0.9258653,-0.15103474,-0.25125274
Subject_11,-1.2066778,-0.7536033,1.6000059,-1.4647357,0.03608555
Subject_12,2.452489,0.24894223,-1.3804827,-0.83502895,0.5647682
Subject_13,-1.666714,2.435142,2.4243455,0.8091992,-0.81113636
Subject_14,1.0074859,0.86332184,-1.5413729,0.06383594,0.37274504
Subject_15,1.1755897,0.4376614,-1.3492173,-1.532398,-0.23977938
Subject_16,-0.5549401,-1.0060174,0.6721379,0.46719062,0.24747866
Subject_17,-0.71788466,0.5438945,-2.0601246,-0.22473176,0.2063651
Subject_18,-1.2335604,1.1781112,1.0399181,2.1093717,-0.28550425
Subject_19,0.05072654,1.0401243,1.1577656,-0.8722811,-0.6879418
Subject_20,-0.7142478,-1.0231878,0.1826533,0.011936347,-0.91283196
Subject_21,-0.71499974,1.2815259,0.93043536,-0.33684385,-0.11492436
Subject_22,-0.30132285,1.2006718,0.77268076,-0.9516029,1.6225959
Subject_23,1.3344857,-1.5169005,-0.80936235,0.08648691,0.47064632
Subject_24,1.6507299,1.0494043,-1.671107,0.9675557,-1.0517367
Subject_25,0.6936672,-0.57296246,-1.2552187,0.5162202,-0.87317526
Subject_26,0.17878282,1.3973033,-0.02433529,-1.900734,-1.555681
