Subject_ID,Factor_1,Factor_2,Factor_3
Subject_1,0.011173029,-0.21678643,-0.97326344
Subject_2,1.5481579,-0.018942403,1.3860073
Subject_3,0.06282075,0.48136067,0.9743606
Subject_4,0.21333979,-1.8477527,1.0717292
Subject_5,-1.857915,-1.6550177,0.020530997
Subject_6,-0.19226393,-1.6357217,-1.1913776
Subject_7,0.06376196,1.2496891,0.062487375
Subject_8,-0.8688046,-0.5843075,0.07124316
Subject_9,0.87931645,0.29549655,0.8370521
Subject_10,0.49070722,1.2967818,-0.19095844
Subject_11,-0.0038489017,1.139676,0.06737238
Subject_12,-0.4019852,0.35551172,-0.5637544
Subject_13,1.4877561,0.30159792,1.5585647
Subject_14,-2.0607467,-0.52162075,-0.91432047
Subject_15,-0.53785,0.5215474,-1.5373684
Subject_16,-0.35986578,-1.1897628,-0.14071631
Subject_17,-1.1443242,0.12656637,1.0824666
Subject_18,-1.586513,-0.43253845,-0.9441695
Subject_19,-1.6680981,0.070527904,-1.2441895
Subject_20,2.7808335,0.17533977,1.6981332
Subject_21,-0.5782295,0.63351136,0.19895394
Subject_22,-2.048486,0.80949616,1.7060213
Subject_23,-0.48058757,0.5085663,-1.2444831
Subject_24,0.010822861,-0.27192405,-0.47220993
Subject_25,1.2716211,-1.0046107,1.3197321
Subject_26,-0.9526229,-0.78353494,-1.42235
Subject_27,2.276517,1.8616569,0.87856466
Subject_28,-0.9651561,1.7242008,-1.4117566
Subject_29,0.089674436,-1.678319,-0.9711647
Subject_30,0.38986364,-0.026126286,1.9881315
Subject_31,0.46224427,0.7002247,-0.44907898
Subject_32,-0.9181357,-0.086928576,0.5626144
Subject_33,-0.08997087,-2.011885,1.0689242
Subject_34,-0.5540982,0.21495675,-2.5308836
Subject_35,-0.35879827,1.0868907,-0.95990795
Subject_36,1.6459424,-1.0341655,1.0532037
Subject_37,0.2401884,0.19381891,0.33312312
Subject_38,1.1795794,-0.7034544,1.0588729
Subject_39,1.6440705,-0.472418,0.7123468
Subject_40,0.89823306,-0.3581491,0.58913165
Subject_41,0.5402023,1.3090249,1.3168519
Subject_42,0.48008913,1.1251727,0.115588866
Subject_43,1.3628913,-2.5336094,-1.1927359
Subject_44,-0.44438985,1.2931398,0.04205816
Subject_45,-0.63961,1.2045274,-0.38668874
Subject_46,-0.53298575,-3.0366986,0.6450264
Subject_47,-0.16707167,-0.36328623,0.23487079
Subject_48,1.906354,0.46729606,1.4111239
Subject_49,0.350354,-0.7392603,0.60145956
Subject_50,-1.064314,0.9176217,-1.5267085
Subject_51,-0.39578483,1.5355679,1.4063197
Subject_52,0.3528981,-0.35040817,0.6587499
Subject_53,2.7667663,1.5822754,-0.52993006
Subject_54,0.53338116,1.1795553,0.6794685
Subject_55,1.0473363,0.12630244,-1.5187433
Subject_56,-0.9459666,-0.11750134,-1.0495552
Subject_57,1.07295,-2.4794552,0.40758958
Subject_58,1.5516084,0.37479052,2.5416744
Subject_59,0.40309075,0.43760696,-0.09695652
Subject_60,-0.24543625,-1.1996882,-0.5609876
Subject_61,0.15681034,0.39054763,0.45443848
Subject_62,-2.9969382,0.78037643,-1.1499326
Subject_63,1.2209766,-0.50043494,0.8071136
Subject_64,0.34814236,-0.41494504,1.574233
Subject_65,-1.3193134,-0.5135161,-0.36704758
Subject_66,-0.13095495,-0.7821041,0.6844663
Subject_67,0.39863878,0.17149834,-0.21618353
Subject_68,-1.8840841,0.99058414,-1.212509
Subject_69,-1.7301646,1.3182405,-1.5698875
Subject_70,0.10100534,-0.66344374,-0.43450695
Subject_71,0.24551736,-0.12331424,0.46475032
Subject_72,0.82650816,-0.18255754,0.93732345
Subject_73,-0.19520272,-0.19347982,-1.1780429
Subject_74,1.0417595,-0.5763821,0.92873
Subject_75,-1.2053442,-1.5103691,-0.027595272
Subject_76,1.488582,0.49661082,1.0512106
Subject_77,0.70131725,-1.6764834,1.5799274
Subject_78,0.12551,0.94406253,-0.05613927
Subject_79,-1.355801,-1.3846527,1.3261564
Subject_80,0.9061463,-0.50883734,-0.40961713
Subject_81,-1.5958778,0.35990122,0.8301286
Subject_82,-0.12230937,0.7727529,-1.3750334
Subject_83,-1.1692481,-0.11686517,-1.1644206
Subject_84,0.26731727,0.77419317,0.4822899
Subject_85,1.4621121,0.9963076,1.2225626
Subject_86,-0.1543117,-0.7190118,0.11318853
