Subject_ID,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5
Subject_1,0.14879519,-0.30129707,-0.4764057,0.47100544,2.117829
Subject_2,-0.82669646,-1.442834,-0.32073262,0.29152158,0.09553977
Subject_3,0.60385174,-0.052500598,0.4155107,-0.8142476,0.43403116
Subject_4,1.239107,-1.2660437,-1.3537027,-0.8819916,-1.4282056
Subject_5,-0.0103843445,0.61645365,0.10492177,-0.2355258,0.30795273
Subject_6,-1.5753272,0.2961576,-0.24693924,-1.1039752,-0.3300586
Subject_7,0.7604389,-0.98175603,0.25517076,1.3184232,-0.44219765
Subject_8,0.8661386,-0.9131027,-0.5219257,-1.1893094,-0.3922004
Subject_9,-0.59977454,-1.7231157,1.4094253,-1.5705135,-0.60843086
Subject_10,0.8694589,-0.09500948,-0.2213777,0.20742655,-0.68409204
Subject_11,-0.26623207,-0.36232355,0.30309236,0.32878992,-0.017334672
Subject_12,0.720068,0.7752675,-1.5143911,0.43117094,0.32357723
Subject_13,-0.18425152,-3.172003,0.9098552,-2.2786558,-1.6495008
Subject_14,0.38472444,1.3455817,-0.65439063,-1.421624,0.31292707
Subject_15,0.70892555,1.1666224,-1.0643235,-2.947956,0.7218847
Subject_16,0.23873857,0.20051746,0.5522721,0.28307492,1.665442
Subject_17,0.7021246,1.804074,0.67611,-0.47170448,0.7240077
Subject_18,0.4214433,1.1779323,0.51385605,1.0111119,-1.4624242
Subject_19,1.4276644,0.6425102,-0.6478058,-1.1761111,-2.542219
Subject_20,-0.43437502,-0.71810395,-3.4683425,0.5374754,-1.12227
Subject_21,0.29112616,0.31976268,0.32016206,1.3413999,-0.34573928
Subject_22,-2.1546445,-0.9389116,0.24155469,-0.9762979,0.10270839
Subject_23,0.7584007,1.1714418,1.691982,-0.4608752,0.70433146
Subject_24,-0.006209031,0.29728487,-0.90992594,1.2793057,-0.05058491
Subject_25,0.26737183,-0.42971146,2.1358976,0.85073,0.051910955
Subject_26,1.4470255,0.42554185,0.5908812,-0.38199747,0.3364443
Subject_27,-0.31059173,-0.11588167,0.7403019,0.8650776,-0.21889798
Subject_28,0.48878628,0.7016286,-1.770867,0.83055526,0.62230736
Subject_29,-0.2931388,1.2029446,0.84569204,-0.541054,-0.38409063
Subject_30,-0.7734075,-1.2495519,0.344862,0.21300596,-1.2209195
Subject_31,-0.4437394,-0.94925344,-0.24058512,0.5506027,1.0424224
Subject_32,-2.0233765,-1.290289,0.09214517,-0.68019086,-1.4298912
Subject_33,-1.0831122,0.2640036,-0.6349101,0.7203436,0.48465902
Subject_34,-0.46833536,1.2130466,-0.6202692,0.2175204,0.23607524
Subject_35,0.92582643,0.9260457,-2.8199952,0.40826985,2.5276256
Subject_36,0.2805688,-0.26951241,0.3905449,1.0748591,-0.43983656
Subject_37,-0.24703617,0.33325112,0.56960315,1.449282,-1.2235067
Subject_38,-0.119820565,-1.0693605,0.39073882,-1.3768104,-0.4375135
Subject_39,0.04676957,-0.4059125,1.9282619,-2.020862,-0.23881532
Subject_40,0.31349635,-0.38127512,-1.260961,-0.95517516,-0.32756925
Subject_41,-0.049717452,-1.2438802,0.67680234,-0.76000124,-1.4898392
Subject_42,-1.1245909,-0.46773508,-0.33588833,-0.96006155,-1.4377911
Subject_43,0.79293275,-0.38594565,-0.86150944,-0.96953726,0.08655281
