Subject_ID,Factor_1,Factor_2,Factor_3
Subject_1,0.28110743,1.1760355,0.718507
Subject_2,0.24784422,0.8835344,0.70791286
Subject_3,-1.5847429,1.3084992,0.24188805
Subject_4,-1.7859122,-0.5907245,-0.52163625
Subject_5,-1.3708316,-0.5587831,0.20214023
Subject_6,0.6061076,-1.5772344,2.0242097
Subject_7,0.4078891,0.2578068,0.21231085
Subject_8,0.4288614,-0.19244596,0.4237724
Subject_9,-0.12716135,-1.8023704,0.3958314
Subject_10,-0.34265223,0.4765507,0.70878196
Subject_11,0.4062283,-1.5225766,-0.6134786
Subject_12,0.41362882,1.4387469,1.3762804
Subject_13,-0.20813897,-2.3765876,-0.693971
Subject_14,1.2130531,2.2260056,0.17959541
Subject_15,0.18496427,1.0198132,0.6688388
Subject_16,-0.27922973,-2.276386,1.7463021
Subject_17,0.10167068,-1.0781137,-0.13579366
Subject_18,-0.01957984,-0.7876156,0.7379762
Subject_19,-0.47249675,-0.43715852,-0.11909184
Subject_20,-2.6912427,-1.7279469,-0.83484876
Subject_21,-0.24250568,-0.5306606,-0.45596138
Subject_22,1.1159377,-0.8932204,-0.6849929
Subject_23,-0.11158975,-1.2151171,-0.0125541305
Subject_24,0.92140365,1.2659178,-0.23599696
Subject_25,0.22528465,1.1762036,-0.8393812
Subject_26,0.52646387,1.9039608,-0.009159893
Subject_27,-0.10780712,-1.0670246,1.2726169
Subject_28,0.11598396,1.4700494,0.96994233
Subject_29,1.3081737,0.14593822,0.03655184
Subject_30,-0.48066056,-1.4426978,1.32779
Subject_31,0.045715105,-0.7568323,-0.27117518
Subject_32,-0.6302393,-1.0089864,0.2661273
Subject_33,0.080190346,1.3234298,0.8168267
Subject_34,-0.89892924,-1.8867763,-1.4975634
Subject_35,-0.6724344,-0.07148733,-0.05174656
Subject_36,-1.0610458,1.3687979,-1.1678575
Subject_37,0.31916368,-0.8973802,-0.29156634
Subject_38,0.12674053,-1.3599845,-1.8701962
Subject_39,-0.36746368,-0.81666595,0.08648775
Subject_40,-0.73850316,-0.32029617,-0.21501914
Subject_41,-0.018590711,0.22793104,2.5305543
Subject_42,-0.020688433,-0.6506263,0.6408188
Subject_43,-0.46709636,-1.2559972,-0.20381834
Subject_44,-0.6385597,-1.5046715,0.16849028
Subject_45,0.4516563,-0.81132644,0.3994335
Subject_46,-0.12021852,-2.9156256,-0.7150962
Subject_47,-1.5501758,-1.2720242,-0.8698873
Subject_48,0.7123826,-1.5870365,-0.8602682
Subject_49,-3.8987575,-1.5040945,-0.42068622
Subject_50,0.1174016,-1.8136435,1.05076
Subject_51,-1.2384951,-0.64719087,0.77521753
Subject_52,-0.3813629,1.3472508,0.035588402
Subject_53,-0.012560107,0.97592026,-0.33027145
Subject_54,0.043090533,-0.6693744,-0.7470224
Subject_55,-1.2883885,-2.987134,-0.13834764
Subject_56,0.00088047684,-0.9843905,-0.89454937
Subject_57,1.5361943,2.214907,-1.603779
Subject_58,-0.4237668,-1.8366557,-0.7317395
Subject_59,0.64609784,0.85221934,0.00037862832
Subject_60,0.024213675,-0.5858181,1.0100459
Subject_61,-0.7055771,-1.8883603,-2.0308745
Subject_62,-0.04200666,-0.5024848,0.5106122
Subject_63,0.0066094394,1.0860215,-0.16465943
Subject_64,-0.24011,-1.6429942,-1.7569896
Subject_65,0.3010852,-0.6178793,1.0451027
Subject_66,0.44512382,-0.8817913,0.13144949
Subject_67,-1.1684984,1.3630483,1.6641074
Subject_68,-0.16496676,-0.90578574,1.5105695
Subject_69,-1.5679362,1.4358025,-0.27398217
Subject_70,1.9073479,0.42089763,-0.3262758
Subject_71,0.26429397,2.4976494,0.988889
Subject_72,-0.25420842,-0.7830364,0.48849693
Subject_73,0.15670188,1.4780161,0.67072463
Subject_74,-0.2718374,1.4647355,0.83247787
Subject_75,-0.5044699,-1.9700795,0.05678271
Subject_76,-0.6221333,-0.8829879,-0.34292558
Subject_77,-0.57781106,-1.5250849,0.7072042
Subject_78,-2.2248683,0.949292,0.65338373
Subject_79,0.58439124,3.617903,0.49729794
Subject_80,-0.8869198,-1.2316086,-1.4168214
Subject_81,0.5341655,1.7669194,-0.10781731
Subject_82,1.0870305,1.5158293,-0.985888
Subject_83,-2.5487113,2.1162057,-0.49269003
Subject_84,-0.08105059,-0.30667076,1.8415953
Subject_85,0.022607073,-1.8442854,0.4122151
Subject_86,-0.15041116,-1.4918725,-0.57676476
