Subject_ID,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5
Subject_1,1.2606583,0.33349925,1.2320638,-0.6949174,-0.98271257
Subject_2,1.0640186,0.2941866,-1.7167711,0.74443644,0.76460916
Subject_3,0.11755925,-1.35094,-1.6865982,1.1867049,-0.17554016
Subject_4,-0.75620717,0.8630864,-1.2361228,-0.2940527,-0.5621599
Subject_5,0.58156717,0.0026645376,0.9922933,-0.644878,0.6638157
Subject_6,-0.5806607,-1.0565605,-0.04099361,-1.1665233,0.85938644
Subject_7,0.97474253,-1.5184639,-1.06602,-1.6858758,1.302284
Subject_8,0.34730715,0.33712032,-1.2366103,-1.1199727,-0.73288196
Subject_9,0.3409158,-0.49911308,-1.8750974,-1.2708336,-0.7886407
Subject_10,0.53650296,1.2050867,-0.20971449,-0.9659397,1.9411358
Subject_11,-0.61300296,0.041496914,-0.99622464,0.6310376,0.778095
Subject_12,0.14858957,0.42415395,0.8481252,-1.0248748,1.7433008
Subject_13,-1.198959,-0.72441936,-3.6158166,1.3049086,1.2159793
Subject_14,-1.6513114,0.69413614,1.5903512,-0.4018713,0.14524354
Subject_15,-0.37691835,0.7007289,1.3070142,1.3948548,1.0715605
Subject_16,1.8826768,0.19087596,-0.028960371,0.7841183,0.04824708
Subject_17,-0.09529863,0.3335447,1.97046,-1.053054,-1.4768885
Subject_18,0.27031645,-0.6842475,1.5158063,-0.35405722,-0.5209291
Subject_19,-0.005759936,1.138279,1.3341458,1.1766253,0.11621103
Subject_20,-1.322697,0.27206093,-0.9535913,0.117149174,-1.5729908
Subject_21,-0.22842957,0.3704722,0.09774352,-1.9242094,-0.10446714
Subject_22,-0.78024375,-1.258969,0.2909923,-0.7124058,0.84253347
Subject_23,0.3933517,0.29461023,1.4525316,-0.5418178,2.3032408
Subject_24,-0.5928063,-0.98668593,1.6268029,0.09284197,-0.5692248
Subject_25,-1.9895952,-1.6831551,-0.77440655,0.33143014,-0.6457103
Subject_26,0.26515967,0.09720156,0.6834796,-0.031329773,-0.9085763
Subject_27,-0.120009966,-0.5575313,-1.9221461,0.84309864,0.4254056
Subject_28,-0.03156269,-0.6054153,1.0989834,0.4390248,-0.7203974
Subject_29,-0.5462333,0.4172868,1.416826,0.25123787,-1.9455755
Subject_30,-1.5778286,0.75125104,-1.2591093,0.75529134,1.2424442
Subject_31,-0.13438657,2.1040714,-0.88705754,-0.0029365732,0.669841
Subject_32,0.47778988,0.19422914,-0.9162632,-2.199601,-1.1908429
Subject_33,0.1095001,2.132243,-1.5921216,-3.4610636,-0.7398627
Subject_34,-1.9118617,0.03416939,1.4092776,0.108998604,-0.85682523
Subject_35,0.00025694282,0.4803501,0.8487602,-0.6387951,1.7883321
Subject_36,-0.20689975,0.60082287,-0.5358931,0.106255546,-0.2516485
