Subject_ID,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5
Subject_1,-0.9023922,-0.78813046,-0.89571,1.1570557,0.77364504
Subject_2,-0.79674697,-1.0002998,1.8400342,0.5448185,0.14123684
Subject_3,0.2109495,-0.9759398,-0.8424089,1.048095,0.30069795
Subject_4,-1.2876644,1.601575,-1.0686512,-0.11714167,-0.08308103
Subject_5,0.11502243,1.8143321,1.0664918,-0.6187923,-0.32229882
Subject_6,-0.87341654,-1.1651145,0.999295,0.77384365,-0.5824916
Subject_7,1.7936128,-0.6097698,1.9372603,0.5741796,-0.108069465
Subject_8,-0.70061654,-0.64525133,0.55163324,-0.97476286,0.48458943
Subject_9,1.3800418,-0.43231186,1.2454859,-0.9298709,-1.6312906
Subject_10,0.120533,1.4940791,1.0603842,1.1155316,-0.69779056
Subject_11,0.7153975,-0.56714123,1.6375928,0.76991576,0.2991701
Subject_12,0.51393324,0.58860296,-0.17512098,-1.3563902,-0.23337916
Subject_13,2.0952106,-0.8517866,1.2903858,-0.12310349,1.3780744
Subject_14,0.4997382,-0.31771907,-2.3578298,1.6586658,-1.2420037
Subject_15,-1.2486552,0.49751908,-0.71618426,0.64661723,0.11154292
Subject_16,-1.4129869,0.65808916,2.5754979,0.11933767,0.65755266
Subject_17,-0.20737608,0.2920019,-0.13102856,0.6146346,-0.67267567
Subject_18,-0.26224,1.2164999,-2.1081827,0.8502445,-1.3777703
Subject_19,-1.3580189,-0.42847022,-0.020060666,-0.80873626,0.023663726
Subject_20,-0.5322892,-0.020815874,1.8179418,-1.2625508,0.69656694
Subject_21,-0.6803089,-0.7775134,0.3060978,-0.020108607,0.6072998
Subject_22,0.28165388,0.2522389,-1.6908611,-0.51454926,-1.6941439
Subject_23,0.16843486,0.31668478,-1.9374845,-0.59255594,0.27658138
Subject_24,0.37394834,-0.7407325,-0.2922861,0.023653226,-1.1474919
Subject_25,0.61123747,0.19237876,0.12415283,-0.654565,0.31884474
Subject_26,0.6813936,1.0164838,-1.4466827,-1.2787293,0.6207443
Subject_27,0.19882303,0.6569033,-0.83319825,0.6914293,0.25231054
Subject_28,-0.58145887,-0.26014417,0.48972836,0.95066315,0.92245305
Subject_29,-1.0000293,-0.06156142,-1.9956372,0.38686278,0.24787202
Subject_30,0.7397211,-0.66481644,0.617388,0.34700847,-0.1357476
Subject_31,-0.38574117,0.86142105,1.7350433,0.24513368,0.7377632
Subject_32,-0.48528373,0.83489585,2.077023,-1.258683,0.4937148
Subject_33,-0.182167,1.2498507,-1.6867467,-1.0451822,0.8504904
Subject_34,0.073702216,-0.6458238,-2.4539561,0.36087826,-0.09329085
Subject_35,1.2080115,-0.047360025,1.3224152,0.6362998,-1.2149365
Subject_36,-1.3022128,-0.778517,0.8605176,-1.029876,-0.21197408
Subject_37,1.6050996,-0.9333686,-0.13350773,1.4036222,0.5371768
Subject_38,-0.4873508,-1.5539914,0.36572737,-1.0048152,-0.1067717
Subject_39,-0.77685094,0.43261483,1.4358841,-1.0626956,0.9374201
Subject_40,-0.08167527,0.6488302,-1.1125933,-0.18312049,-0.7236215
Subject_41,0.3691294,-0.96585053,-0.906216,0.5774861,0.61093396
Subject_42,-0.6765069,0.72179556,1.4604955,-0.94862825,-0.39323196
Subject_43,-0.9226872,-0.57356095,1.1712948,0.9263785,0.3625169
Subject_44,-1.0785958,-1.1061555,-0.27804437,0.9539708,-0.07997612
Subject_45,-0.74022746,-0.062208883,1.6211818,-0.87794316,1.1273905
Subject_46,-0.9394607,-1.6441965,-0.41232178,-1.2429777,0.13348483
Subject_47,-0.27796912,-0.23524956,0.5604876,-0.5394119,0.28996277
Subject_48,0.20812373,-0.12232978,-0.52647734,-1.2727007,0.4037192
Subject_49,-0.828653,-1.0793121,-0.011158928,1.1371183,0.41190982
Subject_50,-0.1616461,-0.5804244,1.7418045,0.65703094,-1.5308218
