Patient ID,Factor_0,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5,Factor_6,Factor_7,Factor_8,Factor_9,Factor_10,Factor_11,Factor_12,Factor_13,Factor_14,Factor_15,Factor_16,Factor_17,Factor_18,Factor_19
Subject_0,-1.4897829,0.90415674,-0.48393735,-1.3329118,0.86654675,0.76281613,0.56879896,1.3472905,-1.182953,0.828645,1.0211278,-1.3145908,-1.0238528,1.0746901,-0.674986,-0.64484656,0.74624,-0.27468187,0.13921613,0.9199999
Subject_1,-1.1033684,0.40050682,0.6221177,0.910946,-1.3435519,-1.3214152,-0.07231285,-2.2070022,-0.3551004,-0.24442542,-0.1940227,-0.5449778,0.9858499,1.3416789,-1.4904424,-0.80513346,0.36268434,-0.5365933,1.1659743,-0.37489015
Subject_2,-0.588831,-1.0566894,-0.15009134,-0.19587071,0.05692071,0.6114938,-0.8095669,1.1855743,0.44794077,0.44925,-0.15523364,-0.9825998,0.75549334,0.44154918,0.32670623,-0.3417224,0.6530008,0.70030636,-0.67655337,0.849283
Subject_3,1.1699687,0.13209558,0.3120831,-0.41382247,0.6976207,1.4131446,-0.1032282,0.1995554,0.7119538,0.58507365,1.0768255,-0.71649885,-0.786708,-0.23940219,1.3833551,-0.8339437,-0.030623822,-0.17902562,0.65693015,0.24673823
Subject_4,-1.213867,-1.7610283,0.2417437,1.959,-0.95826805,0.18554801,0.9937178,-0.26926285,-0.62401074,-0.06014203,-0.48141152,0.5402995,0.6144227,-0.6384873,0.88977957,-0.47310376,-1.670881,-0.50047725,-1.0228543,-0.14312196
Subject_5,0.018315746,0.08241959,0.59162986,-0.5791758,1.2929626,0.11438719,0.59801847,-0.50897795,-1.0576237,-0.3654423,-0.6868684,-0.6080326,0.23169881,1.8127738,-1.2150457,0.48153573,0.52028996,-1.8185465,-0.3444468,-0.93202883
Subject_6,0.14568321,-1.430901,2.0612955,0.85607636,0.05088559,0.7869734,-1.0348847,-0.67464215,-0.7010348,-1.8457006,0.19259448,0.9476028,0.041694608,0.687059,-0.94314003,1.6574537,-0.005978009,-0.23932266,-0.8948617,-1.4741365
Subject_7,0.85292655,0.66842544,0.51994663,0.24675801,-0.61759824,-0.15721673,1.7517213,1.2171991,-0.679369,0.8033944,-0.64955354,-0.70249104,-0.17479338,0.39701346,-0.36176476,1.0143166,0.25879857,1.2905306,1.4283872,-0.090261914
Subject_8,-0.8933206,0.3403082,-0.19403595,-0.012576485,0.026365576,-0.5045563,-0.12802261,-1.3033997,1.3493104,-0.98926467,1.2350566,0.23026389,-0.65519124,-0.75243753,-1.0659363,-1.4403687,0.18270783,1.1713848,-0.5658617,-1.1985373
Subject_9,0.31882557,-1.0113626,0.41098136,1.0487672,-0.94795036,0.9137873,-0.30281928,1.1531769,-0.9352564,-1.7051443,-0.6054329,0.8481917,-0.9638034,0.26142552,0.8268569,-0.7409167,-0.7463129,1.2556916,0.09933912,-0.685737
