Patient ID,Factor_0,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5,Factor_6,Factor_7,Factor_8,Factor_9,Factor_10,Factor_11,Factor_12,Factor_13,Factor_14,Factor_15,Factor_16,Factor_17,Factor_18,Factor_19
Subject_0,1.0791339,0.025754847,1.2574685,-1.6727475,0.4298443,1.5756294,0.05107797,-0.47554076,1.3413489,-0.83849376,-0.6357282,-0.4569908,0.10520727,0.82921124,1.4575727,-0.60646254,-1.1031996,1.0615965,-0.8208837,0.98318064
Subject_1,-0.5540541,-0.37177834,0.41893983,0.7110731,0.40167785,-2.5532186,1.7682203,-0.41593158,1.6624073,0.31209183,-0.28143695,1.1130375,-0.8836806,-0.4129859,1.0058683,1.5143743,-0.13543053,0.13708462,0.32436448,-0.7736952
Subject_2,-0.17204046,-0.12721048,-0.5733789,-0.3746576,0.20525315,1.122708,-0.44541523,0.4554579,0.75382435,-1.5106236,0.76110804,0.91581917,1.0221541,-0.11938988,0.5054128,-0.14412606,-0.8407643,0.47048444,-0.4267927,1.1057596
Subject_3,1.4981369,0.17644921,-0.6062196,-0.472337,0.8279766,0.18560219,-1.6122477,-0.23254111,-0.30674008,0.046265297,-0.2223661,0.8357154,-0.5732917,0.6939458,-1.0585297,-0.705132,-0.6868972,0.312536,-0.40036404,0.3649213
Subject_4,-0.56893843,0.41040644,0.6180046,2.8706415,0.6365374,-0.26181364,-0.9071759,1.9026973,-0.7205312,0.55001116,-0.94741523,-0.35442188,0.51648253,-0.87949806,0.99406505,1.1393825,0.46216387,-0.57361436,0.0038581756,0.5640216
Subject_5,-1.135046,-1.0155971,1.0246612,-0.3743155,-0.12574954,-0.22212027,0.9369048,0.9360561,2.388252,0.43968305,-0.7579863,-0.78763175,-1.2962174,-0.48890856,0.10488181,-1.5555393,-0.35523826,1.2070395,0.3992455,-0.9173105
Subject_6,0.28554192,-0.38343272,0.5984324,0.856013,-0.7466269,-0.8402707,0.7023013,1.3562133,0.7759596,2.2192156,0.7186954,0.8982594,-1.021065,-0.6992198,0.08619546,-0.01432773,1.0222313,1.9888465,1.7718353,-1.2362603
Subject_7,-0.5774622,1.1456594,0.82692814,-0.36668172,-1.0573285,1.1387718,0.22787571,-1.1942819,0.35211465,0.26294035,-2.0901942,1.3887057,0.0629932,1.3051955,-0.43276364,0.66446143,-0.86106575,0.18965212,-0.54339856,-0.44841748
Subject_8,1.0141554,0.0078276135,-1.4853609,-0.3804341,1.4965923,-1.6418363,0.6026581,-0.74326307,-0.90434533,0.4383483,0.59560925,-1.325403,0.9190975,-0.52351743,0.5013208,-0.27184448,0.65865314,-0.15152246,0.90656435,-1.3613137
Subject_9,-0.16506714,1.397628,1.0502018,0.83137304,0.5799354,1.0176994,-1.0429404,0.3459046,0.27902913,0.64999694,0.49342963,-0.08860116,0.81182283,0.43722108,-0.063426845,0.85777587,0.65147364,0.33362356,1.6346636,-0.9282279
Subject_10,-0.9300038,0.85719275,1.430877,0.08246046,-0.63513744,-0.9933366,2.2646854,0.8381794,-0.6344772,0.19888343,0.54235923,1.1720761,0.39345214,-1.04727,-0.39481503,-0.7966156,0.32922253,-1.0196027,-0.18377648,0.681458
Subject_11,-0.47896513,1.4677204,-0.93691844,1.2413335,0.58048886,-0.47742188,-0.34489217,0.6233384,-1.0897791,-1.005493,-1.2762438,-0.78289163,1.2784439,-0.8109965,-0.9056072,0.1693683,-0.23445696,-0.3962823,0.006458808,0.36160538
Subject_12,-1.0513197,-0.13873339,-0.4664422,0.39438748,-1.9286875,-0.9075292,0.7902326,-0.83751357,1.2225167,1.4636472,-0.9058419,-2.682282,0.3739277,1.3850528,1.8916401,0.07887728,-0.23691954,-0.14399664,1.1996132,-0.87514025
Subject_13,1.0544064,-0.9547107,-1.4290428,-0.9350878,1.4284106,0.87319326,-0.27666616,0.5397152,-0.957332,-0.98674846,0.38949835,-0.6163357,-0.82717586,0.098235644,-1.610137,-0.5223844,-1.2413183,0.50483155,-1.610575,1.4048089
Subject_14,-0.40173802,0.3129088,0.90364075,-0.95608455,-0.75434387,0.5227748,-0.44263613,-0.2055125,-0.3548007,-1.1369225,-0.3324398,0.36231893,-0.59610206,0.26037136,-1.0110494,-0.92260957,-0.2043323,-0.58652425,0.9949673,-0.015689855
Subject_15,-0.9290764,1.0510082,0.80059594,0.8443451,-1.2312766,-0.81649184,1.2677146,0.7735314,2.5061011,1.5064797,-0.9976527,0.7414794,-0.9923729,0.53289104,1.3558476,0.81803536,-0.6947271,1.1640425,1.2632284,-1.2449989
Subject_16,-0.58679026,-0.73949075,0.643174,-0.55309266,-0.27995324,0.9186268,0.37434936,0.3266522,-0.7822466,-0.46171743,0.2304178,0.7209736,0.5231924,-0.5239719,-0.62418026,1.2254496,-0.865976,-1.7626039,0.3172519,-1.3874598
Subject_17,1.0604773,-1.3316132,1.196535,-0.3663082,0.68805486,0.9471877,-1.2215754,0.40175736,-0.84399855,-1.4558794,0.59727734,-1.3837866,1.9745748,1.1696913,-0.16937634,0.72846067,-1.0950222,-0.6247082,-1.001315,0.7696178
Subject_18,-1.1028591,0.5556932,-0.7401658,0.07710266,-0.7375625,-0.2512215,0.28786963,-0.8958462,-0.32531473,-0.50033396,0.80905867,-0.3782202,1.0831013,-0.3261216,0.07291037,0.56430477,0.6111604,-1.0192951,0.60913545,-0.28804886
Subject_19,-0.611031,1.3211486,-0.56860566,1.1142867,0.46792442,-1.1040459,1.1461676,-0.27255437,0.51903594,1.7092164,-1.7001194,-1.1079191,-0.82995087,-0.9172175,-1.4165832,0.81459767,0.09504827,0.9608664,0.81300455,-1.0825207
Subject_20,-0.6777485,0.5340718,0.116099365,0.16390032,0.5826893,-0.4434728,0.1789774,0.23079814,-0.73992985,-0.19094807,1.007029,0.4885834,0.7553611,-0.8822695,0.5290465,1.0492345,0.7192658,-1.5432724,0.4643022,0.6868331
Subject_21,1.0861737,-0.91310245,-1.102849,-0.6486564,1.1619166,1.3012428,-0.5089851,0.3592567,-1.1418165,-1.4986688,0.74612874,-0.13649331,-0.6112068,-1.4537688,-1.5245986,-0.18934426,-0.3708227,1.0432034,0.32573804,1.2991621
Subject_22,-0.81361675,1.3847096,-0.17861412,-0.6485555,-0.39221874,0.765519,-0.9598494,-0.8706284,-1.1374183,-0.64958864,1.3309443,1.3794748,1.5508536,-0.5020926,0.035268568,-0.7427016,-0.74833953,-1.1138672,0.34455463,0.82357717
Subject_23,0.40192086,0.44708717,-0.19093016,-0.0347625,-0.16790947,-0.91300285,0.6929661,-0.2075746,0.576681,-0.57786214,-0.3113948,-0.78915554,-0.605255,-0.09435512,-0.8445822,0.26372424,-0.42921796,-0.7329746,-0.55736023,-0.034904137
