Patient ID,Factor_0,Factor_1
Subject_0,-0.27368066,0.0036629497
Subject_1,0.969755,0.5158209
Subject_2,0.039056692,-0.009667169
Subject_3,-1.6504381,0.0008470395
Subject_4,0.5299601,0.00012986873
Subject_5,2.987792,-0.0064645396
Subject_6,3.7992997,0.014529025
Subject_7,0.04379884,-0.0009935999
Subject_8,0.04952959,-0.003876664
Subject_9,0.0034554687,0.026926724
Subject_10,2.6801326,0.016916895
Subject_11,0.03983913,0.0058531445
Subject_12,0.2589451,0.104662135
Subject_13,0.019940507,-0.727125
Subject_14,-0.067774534,0.0015617346
Subject_15,2.1973572,-0.01175885
Subject_16,-0.02540542,0.0039938306
Subject_17,0.029446173,-0.4842804
Subject_18,0.29154333,0.006431674
Subject_19,0.14079848,0.275955
Subject_20,0.16452661,0.0025486911
Subject_21,0.009103862,-0.012375271
Subject_22,-0.2843773,0.027704487
Subject_23,0.055673774,0.0014920859
Subject_24,0.03733516,0.0014207198
Subject_25,0.021302257,-0.0016067505
Subject_26,0.07718383,0.003201556
Subject_27,0.0114139095,0.0047477675
Subject_28,-0.34824386,0.001830043
Subject_29,0.48983392,0.08314905
Subject_30,-2.8680437,-0.004781644
Subject_31,0.0681927,-0.0034489888
Subject_32,-0.0041081575,-0.025417617
Subject_33,-1.5304433,-0.0027247586
Subject_34,0.3877802,0.25842765
Subject_35,0.021621298,0.05381944
Subject_36,0.026369812,0.0051388913
Subject_37,0.025765432,-0.0013371618
Subject_38,1.66501,-0.0006126898
Subject_39,-0.045174792,-0.0025128904
Subject_40,0.006599993,-0.1059934
Subject_41,0.0032737416,0.12580553
Subject_42,3.152435,0.00028999406
Subject_43,0.10090588,-0.0040864605
Subject_44,1.225806,0.0034415422
Subject_45,0.02444223,0.008732112
Subject_46,1.028123,0.001709763
Subject_47,-0.003009832,0.007061455
Subject_48,-0.091198236,0.0008681739
Subject_49,0.3486272,0.0023072415
Subject_50,-0.033894803,0.0011782957
Subject_51,-0.91273415,-0.015519653
Subject_52,0.031912927,-0.0012689647
Subject_53,0.01984977,0.0056769317
Subject_54,0.2274877,-0.005208248
Subject_55,-2.2808423,0.0030880715
Subject_56,0.0039146803,0.004350296
Subject_57,0.0008726611,0.111425
Subject_58,0.018068448,0.00028594717
Subject_59,0.1650859,0.010105019
Subject_60,-0.060474575,0.00032798742
Subject_61,-3.834322,-0.0037963365
Subject_62,-1.7553344,0.00055214117
Subject_63,0.21115874,0.9824079
Subject_64,0.051813252,-0.081808686
Subject_65,0.18889324,-0.021124091
Subject_66,0.01902439,0.0005744039
Subject_67,-2.9216628,0.0005764828
Subject_68,-3.7941532,-0.029771259
Subject_69,0.00062983896,0.048878048
Subject_70,1.8476896,0.00927363
Subject_71,1.340565,-0.004728075
Subject_72,0.036380228,-0.00013458014
Subject_73,0.12741315,-0.023871712
Subject_74,0.01374968,-0.16507313
Subject_75,0.15046425,0.13159092
Subject_76,0.0839463,-0.0007318933
Subject_77,0.03558728,-0.0013855972
Subject_78,-5.0651584,-0.0011935764
Subject_79,3.8351738,0.0022276093
Subject_80,0.035727456,-0.00094113447
Subject_81,-3.8924468,0.00062307675
Subject_82,0.015788512,-0.15448087
Subject_83,0.07721466,-0.00016252577
Subject_84,0.35847095,0.034322094
Subject_85,0.11829298,-0.09850179
