Patient ID,Factor_0,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5,Factor_6,Factor_7,Factor_8,Factor_9,Factor_10,Factor_11,Factor_12,Factor_13,Factor_14,Factor_15,Factor_16,Factor_17,Factor_18,Factor_19,Factor_20,Factor_21,Factor_22,Factor_23,Factor_24,Factor_25,Factor_26,Factor_27,Factor_28,Factor_29
Subject_0,-1.0005902,0.30631387,-2.3795469,1.0517569,-1.197959,0.66726846,0.42020664,-0.7807218,-1.023402,-0.63269246,0.6353875,0.830613,-0.8471095,1.1100603,0.42539364,1.1980219,1.3103622,-1.3457618,-0.9412643,-0.020133846,-0.5234153,0.0764577,1.1884342,-0.6639311,0.4466276,-0.2849483,1.7816256,-1.4564028,0.34680763,0.55303633
Subject_1,-1.2652595,0.50936186,-1.2624034,1.9202113,-0.112079434,0.2595039,-1.3224928,0.0963711,0.49237335,1.6219785,0.81210226,-0.010514276,2.511,-0.92018837,-0.93323225,-0.3912652,-1.3341922,0.7346571,-0.11710425,1.6096313,-0.50138843,0.37465304,-0.7162387,1.2361389,-0.7471484,0.52649087,-0.40600768,1.1431314,0.8557805,0.11103915
Subject_2,0.61888963,0.010058493,-0.4918538,0.49809965,-0.47825938,0.418127,0.45230108,-0.7876168,0.7120112,0.303264,-0.75618386,0.41102365,-0.992941,0.81495535,0.7219002,0.43230885,0.057779457,-0.3805513,-0.6039757,-0.5069184,0.55352014,-1.7228245,-0.5834431,-0.09029274,0.5008922,0.64402556,1.4182478,-0.15264279,-0.17204735,0.2827823
Subject_3,0.66391116,-0.13338144,0.8445124,-0.42305073,-0.31524023,1.0514483,0.04896445,0.056014586,-1.041426,0.6861778,0.57064563,0.3567461,-0.11714331,-0.44131896,-0.5446556,1.1561074,1.4230064,-0.24103093,-0.48213306,-1.5045034,-0.3616778,-0.5034983,-0.50908905,-1.0821347,0.4654215,-0.15734339,0.6426442,-0.8197917,-0.5736693,0.94064033
Subject_4,-0.5913989,-1.0070337,-0.52759516,-0.83222294,1.8545051,-0.75271106,-1.1757978,0.34961408,0.85362273,-1.5546826,0.38005263,0.26097462,0.21124956,-0.032625303,0.576524,-0.7487186,-0.5743347,1.6567447,0.32068208,-1.1877456,-0.9986817,-0.5326245,-0.15329508,0.5444071,0.6810892,1.1360222,-0.83515066,1.4986677,-1.5110109,-0.0065429825
Subject_5,0.78316224,0.6948213,-1.153007,2.2643769,-0.39662418,-0.79810214,-0.24688345,-0.16131891,0.87829256,-0.9328237,1.1006397,-0.3396273,1.1387175,-0.5849751,-0.95362693,0.37265846,-0.5968168,-0.4438579,1.2223544,0.66631794,-0.5965283,1.0201042,1.2547855,1.1425514,-0.8776941,0.3958216,1.4506158,-1.4125985,-0.99311924,-0.21603566
Subject_6,-0.38884342,-0.544001,-0.025835749,0.47261608,0.040578004,0.9461626,0.61752707,1.6446475,0.07980791,1.452502,1.1236168,-1.9608039,0.9242474,-1.7350625,-1.5290066,-0.61777556,0.098612405,1.2547977,1.8178589,-0.1531512,0.6974597,-0.5836216,0.70953935,1.711658,-1.0924467,2.2775621,1.5568985,-0.81646913,-0.56852907,-0.9345464
Subject_7,-1.2384033,-0.6113687,0.06487163,0.27393395,0.8544581,0.78970444,0.54790866,0.13372089,1.3113414,1.1138985,0.33723173,0.8160425,-1.1610183,0.24212115,-0.6526503,0.81789815,1.2767055,-0.32451317,-0.4937614,0.36264372,-2.116108,1.6493748,0.008000822,0.2372936,-1.0020907,0.38174167,0.8091094,-0.46235147,0.26103893,-0.68185824
Subject_8,0.7617257,-0.3381586,0.6777669,-0.57914954,-0.61460316,1.0269964,-1.1516387,0.111308664,-1.6943598,1.4317981,-0.53591126,-0.86825633,0.95416975,-1.2364991,0.81967294,-1.3275008,-1.3268281,0.52026623,1.1226494,0.8185066,0.5664866,1.5717978,-1.2843994,-0.63329244,-0.444498,0.3521281,-1.1099308,-0.753613,0.87204826,1.37991
Subject_9,-0.89837873,-1.0840116,-0.68910134,-0.14525878,0.6899487,0.837779,1.4527134,0.8114693,-0.6515491,0.29661414,-1.0340327,-1.8592802,-1.2995224,-0.7289547,-0.37087,1.7943513,0.13154599,1.302013,0.7409948,-1.1387929,0.5343814,1.11345,0.70131487,0.60803425,-0.88498265,0.43348056,-0.20813015,0.37689534,-0.7929198,0.9038791
