Patient ID,Factor_0,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5,Factor_6,Factor_7,Factor_8,Factor_9,Factor_10,Factor_11,Factor_12,Factor_13,Factor_14,Factor_15,Factor_16,Factor_17,Factor_18,Factor_19,Factor_20,Factor_21,Factor_22,Factor_23,Factor_24,Factor_25,Factor_26,Factor_27,Factor_28,Factor_29,Factor_30,Factor_31,Factor_32,Factor_33,Factor_34,Factor_35,Factor_36,Factor_37,Factor_38,Factor_39,Factor_40,Factor_41,Factor_42,Factor_43,Factor_44,Factor_45,Factor_46,Factor_47,Factor_48,Factor_49
Subject_0,-2.1486938,1.3248631,1.2419567,-1.4257045,0.9640033,0.8083918,-0.09022632,0.47940132,-0.76490206,1.1037139,0.15466312,0.32200763,-0.13372123,-0.50224936,0.13049525,-0.31757075,0.927945,-0.03349461,0.17991866,-0.61178064,0.91662705,-0.69509965,1.5238736,-1.833993,0.674397,-0.26385,0.73710614,1.1830597,-1.0696951,0.06421312,-0.0011817155,1.0710965,-0.9849708,-0.49745625,-1.2340107,-0.8436873,0.728305,-0.6272389,0.30715305,0.18953873,-0.5397259,-0.91812676,0.16954422,-0.30713797,0.97724336,0.74753386,0.64692074,-0.90472615,1.3232464,-0.9314295
Subject_1,0.4016376,-0.3465895,0.83589727,0.5151482,-1.4368186,0.602412,0.26239955,0.079560414,0.883484,0.48727354,0.70134515,-0.07747839,-1.0360793,-1.0054069,-0.7153032,-1.0061162,-0.6826561,-0.33357126,-0.9305934,-1.3795183,0.038785994,-1.0234605,-0.7443712,1.0781527,0.50123376,0.4647753,0.6458087,-0.65411156,2.5042887,0.43624356,0.6379536,-0.022407243,1.2567645,0.98686016,1.0705267,-0.40442806,-1.2025899,0.045818627,-2.2984269,-0.10417959,0.3301478,0.741887,-1.7149072,1.6283302,-0.7017897,-0.48415077,-0.44180918,0.26634005,1.7946073,-0.70423853
Subject_2,-0.8729875,0.60087895,1.0835828,0.67894423,0.49947113,-0.7252212,0.75278276,-0.14177781,-0.3372628,0.62473154,-0.13080269,-1.0241205,0.17714222,1.1341053,-0.6186075,-0.5416251,0.12056936,0.12087783,-0.79907566,-0.37730068,0.28391802,-0.30953872,0.58934844,-0.3634481,-0.23527564,0.5306652,-0.13502713,-1.0786853,-1.2203134,-0.86504924,-0.5521192,0.083131686,-0.42295733,1.337544,0.82575244,-0.56843024,0.65281326,1.0198969,-0.06253397,0.078170076,-0.83739686,0.8007796,0.35058728,-0.5424666,1.1782321,-0.044066906,0.3573986,-0.69699085,0.45017046,0.53920317
Subject_3,-1.1407821,0.58131385,0.7255757,-0.3729312,0.74233174,-0.53214526,0.64834964,-1.0509938,-0.7496053,-0.30448306,-0.32160714,-0.48269638,1.397478,-0.9899419,0.3020201,-0.9209538,0.3290559,0.5780294,-0.836283,0.7396875,0.9118374,1.1350725,0.4043858,-0.34533364,0.4552135,-0.013689393,0.6530272,1.8100914,0.16919689,-0.19285975,0.75815105,-0.14978485,-1.0268985,-0.019193064,-0.062822595,-0.43949842,-0.008022727,-1.1908407,0.7731289,1.5775685,-0.6789936,-0.85427815,-0.4519085,-1.4550815,-0.1559762,1.1011974,0.8573287,-0.35155794,-0.3087648,1.2437606
Subject_4,1.4816333,-2.0006478,-0.35346937,-0.84010285,-0.53080654,0.9089522,0.4931482,-1.0694004,-0.3495758,0.17535444,-0.900286,1.2470899,0.6061338,-1.2204819,-0.23343684,0.3410633,-0.8753742,-0.5257597,0.47898784,1.5495492,-0.40900946,-0.35699663,-1.6346517,-0.53508425,-1.8380047,1.3400548,0.8254165,-1.3178843,0.03228353,-1.0284741,0.9560478,-0.7562338,0.8628274,2.2309146,-0.9064417,0.18490165,0.38663298,-0.21231826,-1.1296847,-1.3435832,-0.1050785,-0.057237938,1.1680582,-1.0524083,0.24823618,-1.314839,-0.32750937,0.0038669356,-0.36282328,-0.43320006
Subject_5,-0.7162477,0.08814981,1.6734582,0.3599575,-2.38127,0.27476698,1.7799826,0.96565163,0.80971056,-0.24445035,0.9652003,0.5396185,-1.5090909,-0.83575225,-1.4449185,0.43749785,-0.664016,0.118144095,-0.46341392,0.70001286,0.37752956,-0.16972473,0.4133088,-0.03247266,0.3296948,0.6495099,-0.63838303,-0.34792972,0.6875106,1.1459726,-0.89820546,1.4110215,-1.3388242,-0.04007213,-0.7009833,1.1605213,-0.77930135,-0.24900503,0.997538,-1.5264775,1.2368164,-1.064741,-0.10998024,0.5878193,-0.94011897,-0.39411905,0.42644972,0.24231638,1.962302,-0.42819595
Subject_6,-0.6357691,-0.8302095,1.2329694,0.7966237,-1.4319358,0.38046184,0.49334386,1.0435245,0.9505736,-0.103949465,-0.40261617,-0.8405321,-2.021125,1.2512531,1.8003563,-1.014871,-2.0981083,-0.32834247,-0.20650159,0.2850138,0.60254425,-0.8072314,-1.1615171,1.051824,-0.31151977,2.210868,0.8288591,-0.37434134,0.8366346,0.21950905,-1.049963,0.7290145,-1.0398974,0.70490164,1.4236698,1.6700908,-1.7703445,-0.058163714,-0.25055248,1.1119274,0.8448798,-1.0245451,0.29520813,-0.20454468,-1.2236074,0.7219599,-0.8475492,1.8030953,0.27348727,0.16397598
Subject_7,-1.0959387,-0.48647246,0.24600725,-0.24495366,0.8465945,0.8821757,1.1042143,-0.63606393,1.1933576,0.7481661,-0.9132019,1.8246363,-0.24623147,-0.17143627,0.41493422,-0.49468213,-0.08812681,1.1357872,-0.9722919,-0.29491222,0.25063488,0.49669033,0.3748083,-0.34380627,0.6303156,0.5836261,-0.80705065,0.50351983,-0.9615058,3.053951,-0.69233876,-0.73627216,-0.21728688,-0.2879263,1.1729771,-0.2969644,-0.3697042,-0.57927305,-0.5036969,-0.35929117,-0.10511942,-0.5224769,-0.6994435,0.33492813,-0.19787414,0.72289836,-0.73925793,-0.90174073,0.17200193,0.2610053
Subject_8,0.85155267,0.38849208,-0.63326067,0.024418022,0.37946102,-1.3344952,-0.71399915,-0.10996271,-0.28477165,-0.01231544,-0.3735402,0.26050353,0.42239463,-0.051762402,-0.42511275,-0.6199927,1.4145858,-0.77829635,0.79373616,-0.81045884,0.587972,-0.5237004,-0.55602044,1.0491148,-1.0851799,0.3881362,-0.42283747,-2.411097,1.723099,-0.6423469,1.3713535,-0.9977249,-0.45399928,-1.373316,-0.012397757,0.9806332,0.4313503,0.73659617,-0.3545435,1.7545664,-0.44471875,0.6890226,-1.6507871,0.7829024,-1.8244604,0.94270605,0.93953204,0.9870874,-0.45076588,1.0672766
Subject_9,0.19740063,-1.1354527,0.23962648,0.8145705,0.9467044,1.3020848,1.145425,0.106897704,0.78283405,-0.81479424,-1.0955335,0.58801925,-0.28762758,0.48702982,1.0636084,-0.78272253,0.53176564,-0.5421977,1.1280452,0.9713883,0.708385,0.22341235,-1.1670152,-0.8452464,-0.2776124,0.6303824,-0.7400696,-0.37744588,-1.1817646,0.5327597,-0.543531,-0.9205255,-0.21431753,1.0647143,1.2938689,0.6502452,-0.24625315,1.11473855e-05,0.44380018,0.42845953,-0.8950288,0.8380595,-0.9881629,-1.1861893,-0.91111076,-1.046575,1.5892655,1.7261834,-0.017861668,-0.8502812
