Subject_ID,Factor_1,Factor_2,Factor_3
Subject_1,-0.6771516,0.70968807,-0.052799646
Subject_2,-0.11721773,-1.8137702,-1.143436
Subject_3,-0.16807833,0.40859422,-2.6103425
Subject_4,1.2433065,-0.3569295,-1.4743674
Subject_5,0.46843502,0.8516793,-0.51052046
Subject_6,-0.43989116,-1.9437053,0.82929057
Subject_7,-0.6302001,-0.24686489,-0.38764772
Subject_8,-0.06463682,-0.768521,0.9455126
Subject_9,0.26187745,-0.81126285,1.939168
Subject_10,-1.5294096,0.022926664,-0.5100431
Subject_11,-0.11462517,0.40910354,1.3487941
Subject_12,-0.51056147,-0.5810875,-0.45213965
Subject_13,-0.07545626,-0.43678772,0.045291226
Subject_14,-0.64898247,-2.2312217,0.08670772
Subject_15,-0.4229413,-0.40844223,-0.19222791
Subject_16,-1.2397333,0.43520117,-1.9829017
Subject_17,-0.48159772,-0.13986707,0.2740279
Subject_18,0.018201781,-0.70410204,-0.33692864
Subject_19,0.69067585,-1.0699434,-0.29075497
Subject_20,2.596987,0.07616176,-0.14224835
Subject_21,0.6560125,-0.017173402,-0.67704993
Subject_22,-0.1602143,0.35567716,-0.893771
Subject_23,0.9811654,0.97821933,-1.5626814
Subject_24,-1.1211956,-0.6301537,0.62511265
Subject_25,-0.39621732,-1.0254397,-0.7582318
Subject_26,-0.6337938,0.5643333,1.2826382
Subject_27,0.6747927,-1.9143083,-1.3698081
Subject_28,-0.26679936,-0.6028559,0.511073
Subject_29,-0.2912818,0.07197652,-1.0744135
Subject_30,0.31937334,-0.5766524,-1.6677731
Subject_31,-0.18060966,-1.1635165,0.24337174
Subject_32,0.3562833,-1.7130783,0.117735155
Subject_33,-0.3476294,-1.1585728,-1.9856678
Subject_34,0.474468,0.18422681,-0.0866996
Subject_35,1.3046734,-0.081584714,-0.8403835
Subject_36,1.6240003,0.21409684,-1.1184112
Subject_37,-0.2158216,-0.20766617,-0.70650715
Subject_38,-0.22496857,0.16482468,-1.2318475
Subject_39,0.20637113,-0.38935477,-0.88575774
Subject_40,1.8675432,-0.27420494,0.50251627
Subject_41,-0.0006933575,0.2720166,0.45704824
Subject_42,0.017800488,0.594384,0.229705
Subject_43,0.2682865,-0.9155349,0.021901106
Subject_44,0.847399,-1.5375948,0.95285606
Subject_45,-0.00021673998,-0.30264923,-1.3892894
Subject_46,0.43693167,-0.37719274,-0.4463378
Subject_47,0.84635633,-1.1713057,-0.2314444
Subject_48,-0.81333774,0.0003173459,0.9498253
Subject_49,2.763127,0.8702454,1.2387918
Subject_50,-0.5919071,0.71571326,-0.9412202
Subject_51,0.5313503,-0.7928284,0.6319023
Subject_52,0.6022389,0.08935255,-0.040985044
Subject_53,-1.4704269,-0.24991181,-0.48326346
Subject_54,-0.525884,-0.67575955,0.2812638
Subject_55,0.0016728302,-0.7822928,0.31079617
Subject_56,-0.7642787,-0.67728513,-0.757303
Subject_57,-0.5905428,1.5283641,-0.02100527
Subject_58,1.1273934,-0.4669806,0.61072296
Subject_59,-0.3262327,1.0281781,-0.467664
Subject_60,1.4633082,-0.12013413,1.5405892
Subject_61,0.48587725,-1.1930473,-0.02753792
Subject_62,0.007867354,-0.56260604,0.10124517
Subject_63,0.11066058,-1.2042785,1.1322619
Subject_64,0.16166373,-0.27222872,0.74754053
Subject_65,0.37563127,-0.091623984,-0.35390866
Subject_66,-0.10597336,-0.86725444,-0.23656042
Subject_67,1.6243559,-0.22305128,-0.059677597
Subject_68,0.5219059,0.018126173,0.30079836
Subject_69,-0.37714183,0.9934591,-0.4053769
Subject_70,0.7426986,0.2980481,-0.5157678
Subject_71,-0.048995484,0.3844079,-0.5621809
Subject_72,0.426927,0.28608543,-0.05385066
Subject_73,-0.17320982,0.10543634,1.0572788
Subject_74,0.65923697,0.09114487,0.2712616
Subject_75,0.87842846,-1.1219946,0.94445294
Subject_76,0.90528697,-0.9230015,0.95050335
Subject_77,-0.75354147,0.6545398,0.22372575
Subject_78,1.7172465,-0.23972927,-0.5023569
Subject_79,-0.5815834,-0.977286,-0.9734795
Subject_80,0.56467336,1.0040367,1.0527023
Subject_81,-0.0299841,-0.9276095,-0.26451293
Subject_82,-0.40438244,-0.13407968,-0.90954614
Subject_83,2.6520414,1.984729,-0.6303459
Subject_84,0.25159886,0.2991543,-0.7621004
Subject_85,-0.667617,-0.36946934,0.35988477
Subject_86,-0.15307537,-0.877805,-0.44592816
