Subject_ID,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5
Subject_1,-0.70690507,1.22603,-0.7237072,0.09587621,0.7460243
Subject_2,2.0287266,1.5586972,0.109814145,1.4741685,1.0513178
Subject_3,-0.65463823,0.48090443,-0.24445647,-0.07895546,-0.23103498
Subject_4,-0.62708306,-0.22201473,0.1422747,-0.1129583,-1.0070477
Subject_5,0.844963,-1.0230482,-0.25614733,-1.4401685,-0.8167902
Subject_6,0.7547176,1.0361905,-0.2448622,0.3840966,0.91592985
Subject_7,1.5557992,-0.2944006,-0.25456458,-0.40096766,-1.0044777
Subject_8,0.37567496,-0.2322055,-0.5841134,-0.8519433,0.6926611
Subject_9,0.1613171,-1.3550926,-0.63769233,0.8614118,0.26602486
Subject_10,0.84256816,-1.1108855,0.23487145,-1.0109426,-1.0226529
Subject_11,1.0164845,1.0204246,1.2768439,-1.496356,1.010725
Subject_12,-0.16204074,-0.99076605,-0.07298314,-1.0231746,0.5600279
Subject_13,1.0067456,-0.24902673,-1.0019698,-0.29595423,0.4720489
Subject_14,-1.9702863,-0.51004213,0.5256022,0.9251628,-0.7103594
Subject_15,-0.45882344,0.14081562,0.5413511,-0.02420156,-0.8963689
Subject_16,1.9280933,0.86383456,-0.749813,-1.2366827,0.66054916
Subject_17,-0.14029986,0.48779812,-1.0967845,1.2345461,-0.54436487
Subject_18,-1.7940419,0.609998,-0.35971883,1.0887411,-0.61723316
Subject_19,-0.24606928,-0.8668719,0.62911636,-0.22870696,0.88169855
Subject_20,1.4746941,-1.4957072,-0.26931348,-0.7871085,1.3826427
Subject_21,0.22681026,-0.3856158,0.4381625,0.40756783,0.33898067
Subject_22,-1.7718041,-0.52931994,1.2400032,1.1184721,-0.64676416
Subject_23,-0.41113526,-0.23654199,1.3984896,-1.4927682,-0.08479097
Subject_24,-0.176063,0.094040856,-1.5857681,0.6336917,0.57391727
Subject_25,0.35949787,0.08071114,-0.7111689,-0.73420626,0.5287182
Subject_26,-1.6096449,-0.61066896,-0.9936636,0.57903475,-0.46042436
Subject_27,-0.7257152,0.9965828,-1.3611273,-0.81582886,-0.546468
Subject_28,0.88859916,0.9438611,-0.835637,1.1071416,0.6260033
Subject_29,-1.4192721,0.67689383,0.7027028,0.45085046,-0.41992733
Subject_30,0.5052631,0.748439,0.028862635,0.8693781,-0.20620732
Subject_31,-1.1132838,-0.601681,1.0024194,0.467518,-1.2005882
Subject_32,1.64255,-1.3827002,0.0040352885,-1.0135438,-0.94934857
Subject_33,-1.6054791,0.5245266,0.63576746,0.60511214,-0.6915697
Subject_34,-1.8270819,1.3484449,0.1096433,-0.29517648,-0.3319024
Subject_35,0.88795036,1.285775,0.30073276,0.02932501,-0.36174956
Subject_36,1.7827301,-1.3151238,-0.83651555,-1.1391323,1.452739
Subject_37,-0.742194,1.3805714,1.2569697,-0.34003088,0.096378826
Subject_38,0.43517768,-0.74302775,-2.2630634,0.22110474,1.1659371
Subject_39,1.1997373,-1.4110833,-0.394079,1.0424144,0.36837626
Subject_40,-0.95768327,-0.8162683,-0.7643201,-0.8496297,-0.9103234
Subject_41,-0.61227995,0.55373436,1.1941131,0.98011017,0.22660005
Subject_42,0.82201785,-1.0472124,-0.07288369,-0.5768488,-0.13590819
Subject_43,0.67731714,1.4392434,-0.8661161,-0.11445713,0.3188077
Subject_44,-0.4993752,0.63708377,0.65063167,-1.3197403,-0.84835356
Subject_45,1.2015147,0.12970448,0.29366687,-1.0004019,0.75717926
Subject_46,-0.35533988,-0.8941741,-0.027252004,0.36066353,0.2610388
Subject_47,0.7517851,-0.055632327,0.44214216,-0.44129178,1.6307437
Subject_48,-0.4061006,-0.4886157,-1.1045897,-0.32457218,0.6720591
Subject_49,-0.025759282,0.9092317,-0.9442716,0.34773672,0.8122194
Subject_50,1.287749,0.54374194,0.8954161,1.4754198,0.43543392
Subject_51,-1.601914,-0.6822503,0.43456417,0.6194526,-0.6467132
Subject_52,-0.72261196,0.8612274,-0.5654177,-1.0376687,-0.71985686
Subject_53,-1.5062745,0.28060988,0.5587156,1.3182037,-0.9624169
Subject_54,1.1472825,-0.7506712,-0.23174822,-0.43322286,0.25075215
Subject_55,0.50189614,0.010914168,0.1569413,0.41741484,1.386573
Subject_56,-0.43490168,-0.71759766,0.23017804,0.77176183,0.5062813
Subject_57,0.4355908,-1.5775956,-0.3055934,-0.21371369,-1.7900218
Subject_58,1.7267755,-1.0362209,-0.80125433,-0.20048499,0.22811131
Subject_59,0.6047929,1.3291489,1.0272908,1.4239923,1.3265183
Subject_60,0.3877855,-0.9887181,0.7166282,0.8649512,0.13654892
Subject_61,-1.2266654,-0.46582094,-0.40383857,0.7770087,1.1701941
Subject_62,-1.3074012,1.2503989,-0.14096744,1.3179762,-0.23369893
Subject_63,-0.55643654,1.3388457,1.1037978,0.69111824,0.81757766
Subject_64,2.8207037,1.074212,0.07520588,-0.74488264,0.8233999
Subject_65,-0.28174084,1.2582215,0.17185746,-1.1450833,-0.2649914
Subject_66,-0.5093567,1.04506,0.2801463,-0.39792037,-0.99994737
Subject_67,1.8132538,0.44499606,0.16142255,-0.7236527,-0.6725871
Subject_68,-2.0938418,-0.24268477,-0.616825,0.6275511,-0.36058876
Subject_69,-1.9463922,-0.19884525,-1.1405942,0.94499916,-1.212638
Subject_70,0.975868,-0.7290778,0.679783,0.08370282,-0.51357585
Subject_71,0.8038615,1.0185843,-0.19241928,-0.41423607,-0.8939529
Subject_72,0.847898,-0.22710972,0.486766,1.0998049,-0.7348826
Subject_73,-0.4251281,-0.49705532,0.9650638,1.3523612,-0.9458067
Subject_74,-0.46162906,1.2375367,-1.2947268,-0.07863209,0.12381473
Subject_75,-0.7744378,-0.6266973,-0.36052004,-0.106752865,-0.7393775
Subject_76,0.47553837,-0.34082252,-0.10269053,-0.46135923,1.4874572
Subject_77,1.0975059,-1.206187,1.216483,0.4897166,1.3215599
Subject_78,0.28913495,-1.0009049,-0.10869271,0.4531239,-0.6472764
Subject_79,-2.4874597,-1.3562037,0.89921796,-1.4663615,0.65079886
Subject_80,1.5631,0.43289182,-1.1506486,-0.943205,-0.70781
Subject_81,0.3993614,-0.37734938,0.4803635,1.2987156,0.024501836
Subject_82,-1.8728373,0.43288112,0.26791874,0.8792519,-0.41507456
Subject_83,-1.6753666,0.23548667,-0.26983014,0.91902316,-0.7871195
Subject_84,0.30043513,-0.9287972,-0.42170784,-0.7261471,-0.47079295
Subject_85,0.7092866,-0.08662806,0.7423644,0.8427173,-0.96606344
Subject_86,-0.5611332,-0.60571146,0.51205164,0.42837274,0.88784516
