Patient ID,Factor_0,Factor_1
Subject_0,0.38555542,0.4797439
Subject_1,-1.0322086,1.079333
Subject_2,0.42644027,0.9937506
Subject_3,0.51528287,0.12838173
Subject_4,-0.49700814,-1.1341268
Subject_5,-0.5668337,1.2123592
Subject_6,-0.9926674,1.1152891
Subject_7,-0.3686654,-2.0746222
Subject_8,0.010436093,-0.70267
Subject_9,-0.5307477,-0.4339497
Subject_10,-0.7742456,1.1238221
Subject_11,0.12859002,-1.5970945
Subject_12,-0.6696745,-0.68421006
Subject_13,1.664632,0.12821837
Subject_14,0.30460516,0.79739404
Subject_15,-1.4219086,-0.106156714
Subject_16,0.076921225,0.38930258
Subject_17,1.1303836,0.7436027
Subject_18,0.05998257,-0.7761799
Subject_19,-0.96612656,-1.122651
Subject_20,-0.16947643,0.0052603697
Subject_21,0.9309561,0.14903754
Subject_22,0.25720236,-0.11027319
Subject_23,0.16739824,0.50617975
Subject_24,-0.047280073,-0.19347072
Subject_25,0.7686391,0.10166992
Subject_26,0.45748308,1.0241512
Subject_27,-0.38966924,0.88052
Subject_28,0.89031523,0.94028765
Subject_29,-0.3691346,0.9973624
Subject_30,0.5109834,0.40427807
Subject_31,-0.9643162,-0.6857725
Subject_32,0.93849784,0.49126855
Subject_33,1.2810268,1.2060196
Subject_34,-0.69973624,1.6152575
Subject_35,-0.39986753,-1.5089912
Subject_36,0.086148605,0.82510984
Subject_37,-0.18984179,-1.1192735
Subject_38,-0.71411353,-0.14679049
Subject_39,0.60143894,-1.316085
Subject_40,0.4546199,0.5954077
Subject_41,-0.43314257,-0.2589445
Subject_42,-0.55164236,1.2079957
Subject_43,0.17266734,0.85049206
Subject_44,-0.76489156,-0.98532593
Subject_45,0.19191603,-0.9948492
Subject_46,-0.32914805,-0.586051
Subject_47,0.28483978,-1.0225415
Subject_48,-0.058390893,1.3582228
Subject_49,-0.9871186,1.0028281
Subject_50,1.097264,-0.52410465
Subject_51,0.5127654,0.8763244
Subject_52,0.9313657,1.4717597
Subject_53,-0.49404892,-0.7359581
Subject_54,-0.40526548,-0.849914
Subject_55,0.30424404,-0.48254237
Subject_56,-0.17081918,-1.3399023
Subject_57,-1.0598166,-0.81294024
Subject_58,-0.5192325,0.9610394
Subject_59,-0.11835023,-1.1304014
Subject_60,0.9650347,-0.41960105
Subject_61,0.95534706,1.1859871
Subject_62,0.31689265,1.4538904
Subject_63,-2.191893,0.61281216
Subject_64,-0.03313895,1.3590342
Subject_65,0.0010334869,0.9225533
Subject_66,-1.0082222,0.94076675
Subject_67,1.4873075,-0.033269513
Subject_68,1.3043187,1.3887109
Subject_69,-0.65135103,-0.46187478
Subject_70,-0.62582,0.66892946
Subject_71,-0.64915764,0.5532068
Subject_72,0.31693846,-0.6768655
Subject_73,0.09822651,1.0334784
Subject_74,0.43945482,0.118372284
Subject_75,-0.36412504,-0.8817449
Subject_76,-0.7481516,-1.1682036
Subject_77,-0.12147025,-1.2937201
Subject_78,1.6448085,-1.3196069
Subject_79,-0.88056093,0.065646335
Subject_80,-0.16906644,-0.4737176
Subject_81,1.5250145,1.7824713
Subject_82,1.215326,0.907807
Subject_83,-0.14936513,-0.9278103
Subject_84,-0.4254754,0.98653376
Subject_85,0.26296362,-0.9731823
