Subject_ID,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5
Subject_1,0.0,0.0,1.0,0.0,0.0
Subject_2,0.0,0.0,0.0,0.0,1.0
Subject_3,0.0,0.0,1.0,0.0,0.0
Subject_4,0.0,0.0,1.0,0.0,0.0
Subject_5,0.0,1.0,0.0,0.0,0.0
Subject_6,0.0,0.0,0.0,0.0,1.0
Subject_7,0.0,1.0,0.0,0.0,0.0
Subject_8,0.0,0.0,1.0,0.0,0.0
Subject_9,1.0,0.0,0.0,0.0,0.0
Subject_10,0.0,1.0,0.0,0.0,0.0
Subject_11,0.0,0.0,0.0,0.0,1.0
Subject_12,0.0,0.0,1.0,0.0,0.0
Subject_13,1.0,0.0,0.0,0.0,0.0
Subject_14,0.0,0.0,0.0,1.0,0.0
Subject_15,0.0,0.0,1.0,0.0,0.0
Subject_16,0.0,0.0,0.0,0.0,1.0
Subject_17,0.0,0.0,1.0,0.0,0.0
Subject_18,0.0,0.0,0.0,1.0,0.0
Subject_19,0.0,0.0,1.0,0.0,0.0
Subject_20,1.0,0.0,0.0,0.0,0.0
Subject_21,0.0,0.0,1.0,0.0,0.0
Subject_22,0.0,0.0,0.0,1.0,0.0
Subject_23,0.0,0.0,1.0,0.0,0.0
Subject_24,0.0,0.0,1.0,0.0,0.0
Subject_25,0.0,0.0,1.0,0.0,0.0
Subject_26,0.0,0.0,0.0,1.0,0.0
Subject_27,0.0,0.0,1.0,0.0,0.0
Subject_28,0.0,0.0,1.0,0.0,0.0
Subject_29,0.0,0.0,0.0,1.0,0.0
Subject_30,0.0,0.0,0.0,0.0,1.0
Subject_31,0.0,0.0,1.0,0.0,0.0
Subject_32,0.0,1.0,0.0,0.0,0.0
Subject_33,0.0,0.0,0.0,1.0,0.0
Subject_34,0.0,0.0,0.0,1.0,0.0
Subject_35,0.0,0.0,0.0,0.0,1.0
Subject_36,0.0,0.0,1.0,0.0,0.0
Subject_37,0.0,0.0,1.0,0.0,0.0
Subject_38,1.0,0.0,0.0,0.0,0.0
Subject_39,1.0,0.0,0.0,0.0,0.0
Subject_40,0.0,0.0,0.0,1.0,0.0
Subject_41,0.0,0.0,1.0,0.0,0.0
Subject_42,1.0,0.0,0.0,0.0,0.0
Subject_43,0.0,0.0,0.0,0.0,1.0
Subject_44,0.0,0.0,1.0,0.0,0.0
Subject_45,1.0,0.0,0.0,0.0,0.0
Subject_46,0.0,0.0,1.0,0.0,0.0
Subject_47,0.0,0.0,1.0,0.0,0.0
Subject_48,0.0,0.0,1.0,0.0,0.0
Subject_49,0.0,0.0,1.0,0.0,0.0
Subject_50,0.0,0.0,0.0,0.0,1.0
Subject_51,0.0,0.0,0.0,1.0,0.0
Subject_52,0.0,0.0,1.0,0.0,0.0
Subject_53,0.0,0.0,0.0,1.0,0.0
Subject_54,1.0,0.0,0.0,0.0,0.0
Subject_55,0.0,0.0,1.0,0.0,0.0
Subject_56,0.0,0.0,1.0,0.0,0.0
Subject_57,0.0,1.0,0.0,0.0,0.0
Subject_58,0.0,1.0,0.0,0.0,0.0
Subject_59,1.0,0.0,0.0,0.0,0.0
Subject_60,0.0,0.0,1.0,0.0,0.0
Subject_61,0.0,0.0,0.0,1.0,0.0
Subject_62,0.0,0.0,0.0,1.0,0.0
Subject_63,0.0,0.0,1.0,0.0,0.0
Subject_64,0.0,0.0,0.0,0.0,1.0
Subject_65,0.0,0.0,1.0,0.0,0.0
Subject_66,0.0,0.0,1.0,0.0,0.0
Subject_67,0.0,0.0,0.0,0.0,1.0
Subject_68,0.0,0.0,0.0,1.0,0.0
Subject_69,0.0,0.0,0.0,1.0,0.0
Subject_70,0.0,1.0,0.0,0.0,0.0
Subject_71,0.0,0.0,0.0,0.0,1.0
Subject_72,0.0,1.0,0.0,0.0,0.0
Subject_73,0.0,0.0,1.0,0.0,0.0
Subject_74,0.0,0.0,1.0,0.0,0.0
Subject_75,0.0,0.0,1.0,0.0,0.0
Subject_76,1.0,0.0,0.0,0.0,0.0
Subject_77,1.0,0.0,0.0,0.0,0.0
Subject_78,1.0,0.0,0.0,0.0,0.0
Subject_79,0.0,0.0,0.0,1.0,0.0
Subject_80,0.0,1.0,0.0,0.0,0.0
Subject_81,1.0,0.0,0.0,0.0,0.0
Subject_82,0.0,0.0,0.0,1.0,0.0
Subject_83,0.0,0.0,0.0,1.0,0.0
Subject_84,1.0,0.0,0.0,0.0,0.0
Subject_85,0.0,1.0,0.0,0.0,0.0
Subject_86,0.0,0.0,1.0,0.0,0.0
