Subject_ID,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5
Subject_1,1.0150204,1.398429,-0.88994426,0.27681702,0.94097733
Subject_2,-0.10471001,0.62917984,-0.703306,1.236694,-1.2473828
Subject_3,1.4579102,0.4441689,0.009995265,-0.012701458,0.4306181
Subject_4,0.47086146,-0.12833385,0.6927919,-0.48396274,1.0923139
Subject_5,-0.38817593,0.55825114,1.1842015,0.061826687,-0.8981475
Subject_6,1.7594147,0.43001798,-1.4932582,1.0954854,-0.71778286
Subject_7,0.088160254,0.59462804,0.69681656,1.003671,-1.572652
Subject_8,-0.4022027,0.082140446,-0.08736768,-0.015215626,-0.65340734
Subject_9,-1.2851822,0.03696506,-0.8472342,-0.5141255,-0.62130183
Subject_10,-0.030815506,-0.3722489,1.080965,1.3032224,-1.1777188
Subject_11,0.8030605,0.2575811,-0.7902709,0.8316197,-0.86485046
Subject_12,1.7202688,0.14470625,0.3382478,-1.5019305,-1.1440082
Subject_13,-1.5623087,-0.08559917,-1.649118,0.4415978,-1.1634325
Subject_14,-0.09521897,0.6982186,-0.5704756,-2.3272572,1.3732394
Subject_15,-0.1877046,0.5025969,0.54113495,-0.16882446,0.40816647
Subject_16,-0.51385075,-1.2054598,0.44653797,1.23448,-1.4318367
Subject_17,-1.5925043,0.37883756,0.70672023,0.124702446,0.24390538
Subject_18,0.031943817,-0.5432425,0.349051,-0.6889836,2.2237506
Subject_19,0.23180969,1.8258896,0.057247136,-0.41855177,0.22611931
Subject_20,0.155836,-0.10930238,-0.45893934,0.054680463,-1.7053208
Subject_21,-0.48732245,1.2528301,-0.28558174,0.34728238,-0.20577605
Subject_22,0.613451,0.8865241,0.3314665,-0.9922191,2.0176005
Subject_23,-1.3522538,0.121234395,2.0299995,-0.25958452,0.33418325
Subject_24,0.81322014,0.38028395,-1.0718262,-0.10984626,0.3208833
Subject_25,-0.5603121,-0.36523268,-0.24573033,0.4734713,-0.33185616
Subject_26,-0.5709743,1.5395521,0.2711798,-0.9346334,1.617213
Subject_27,1.1445358,-0.10005687,0.54743564,-0.42832667,0.92534614
Subject_28,-0.33843234,-1.0017245,-0.4525593,0.40978792,-0.3628608
Subject_29,0.4415657,-0.26839736,-1.3808866,-0.571173,1.2711453
Subject_30,0.046023957,0.3503302,-0.093213335,1.0639386,-0.256012
Subject_31,-1.0033741,-0.24008894,-0.60030955,-0.6159153,0.2932431
Subject_32,0.44612557,-0.23175849,1.3883709,0.7936116,-1.8478005
Subject_33,-0.44488376,-0.05473058,0.5916949,-0.99813116,1.4395664
Subject_34,1.4890295,-0.6469491,0.2601267,-1.07327,1.9928949
Subject_35,0.6362752,-0.028355362,0.2637611,1.5039015,-0.6800493
Subject_36,-0.09337253,-0.7536477,-0.055954978,-0.2486966,-0.6044381
Subject_37,-0.036259014,0.84326744,-0.39726663,1.06947,0.50503147
Subject_38,-0.6389206,-0.90452033,-1.4329113,-0.4215755,-0.6753399
Subject_39,0.13118467,0.09334939,-0.6487363,0.34382272,-1.7866683
Subject_40,-0.38662302,-0.111697115,0.89836395,-0.7989268,0.7512126
Subject_41,1.7048241,-0.93786687,-0.7361854,-0.24735825,0.49630868
Subject_42,1.6086636,0.6044915,0.34790176,1.064412,-0.90209323
Subject_43,-0.97343415,0.1590425,-1.0741001,1.4842485,-0.41447157
Subject_44,0.24885777,0.12846068,0.9547752,0.77662325,-0.15977556
Subject_45,-0.48531684,-0.30714995,-0.32714838,0.57047254,-1.1122547
Subject_46,0.19976433,-0.27782497,-0.45425737,-1.1282786,0.55086434
Subject_47,0.5947391,-0.5708067,-0.5046136,0.035231892,-0.55099475
Subject_48,0.9010318,-1.6555221,-0.47332823,-0.92574793,-0.3818094
Subject_49,-0.8940662,-0.59540826,-0.34772798,0.5308615,0.16817112
Subject_50,1.4224887,-0.10468226,-0.43063185,0.965798,-1.2637022
Subject_51,0.62822616,-0.5240022,0.9373732,-1.2168329,1.6953737
Subject_52,-0.19355534,0.7117655,0.3674081,-0.22199908,1.164291
Subject_53,-0.562271,0.023902074,1.0657601,-0.8425777,1.397607
Subject_54,1.9581947,0.8119781,0.16752417,0.3383943,-0.7839942
Subject_55,0.26255342,0.30181304,-1.4725099,0.21417661,-0.64959097
Subject_56,-0.016665341,0.14950304,-0.079509065,-0.4979036,0.24018407
Subject_57,0.22743216,-0.43400612,1.3872116,-0.66129607,-0.9217631
Subject_58,0.1387346,-0.015785312,0.5613239,0.71414405,-1.7017987
Subject_59,-0.54365593,0.15332936,-1.4975436,0.8249347,-0.74740756
Subject_60,-1.6397029,-1.4268705,-0.08367039,-0.30783397,-0.48016047
Subject_61,0.189986,0.4856601,-0.641006,-0.923183,1.3750328
Subject_62,-0.24165942,0.33626917,-0.5729389,-0.977562,1.3931983
Subject_63,-0.8161954,-0.26335043,-1.4922296,1.2342787,1.0219816
Subject_64,0.15538234,1.2740067,-0.4218275,2.378028,-2.3153024
Subject_65,0.5484211,-0.2747085,0.5382714,0.6474058,0.5804563
Subject_66,-0.91621745,-0.070903465,0.25458673,0.9181035,0.40115726
Subject_67,-0.44736227,-0.28365535,0.6104815,1.0299156,-1.2823304
Subject_68,-0.30638012,0.6549601,-0.46726167,-1.2683555,1.9174244
Subject_69,0.05894154,-0.40410894,1.5851883,-1.4755481,2.0570767
Subject_70,0.021350164,1.7699246,1.4344085,0.46643248,-0.7495032
Subject_71,0.66618365,-1.0434853,0.8408638,1.0935575,-0.59629875
Subject_72,-0.0752281,-0.018050615,1.2644331,0.94485176,-0.49389958
Subject_73,0.13020854,-0.6939034,-0.28349274,-0.35396528,0.35076973
Subject_74,-0.08228306,-0.7978679,-0.24256209,0.38755196,0.5133592
