Subject_ID,Factor_1,Factor_2,Factor_3
Subject_1,0.25884628,0.4755715,-0.47069937
Subject_2,-0.8413665,-0.28568256,0.30916962
Subject_3,-1.4905862,0.38966146,0.2684178
Subject_4,0.69974846,-0.14808741,-0.011039165
Subject_5,-0.14386928,-0.31271794,-0.043322623
Subject_6,0.2062083,0.09250426,0.13968459
Subject_7,0.16467196,-0.30435115,0.2014421
Subject_8,0.69767547,-0.5308156,-0.44358897
Subject_9,0.41525733,0.9058956,0.71229434
Subject_10,0.09593407,0.11499752,0.024056844
Subject_11,-0.22854526,0.43106812,-0.8514945
Subject_12,-0.2725025,-0.4542186,0.007344804
Subject_13,0.094794095,1.3080255,0.50556284
Subject_14,-0.29092702,-0.65458083,-0.15991303
Subject_15,0.077851705,-0.27409357,0.37473893
Subject_16,-0.72905725,-0.1259826,-0.55541605
Subject_17,-0.2487731,-0.31309468,0.51234347
Subject_18,-2.0248115,-1.3285495,-1.094549
Subject_19,-0.42402893,-0.91758627,-0.19333197
Subject_20,0.33897954,0.21733388,-0.12806366
Subject_21,-0.2296272,-0.76212096,-0.35869622
Subject_22,0.25447673,0.16663384,0.33890548
Subject_23,-1.1906157,-0.5075157,1.149915
Subject_24,-0.58993655,0.19516224,-0.051770784
Subject_25,-0.09957708,0.8912932,0.31545183
Subject_26,-0.18145858,-0.70111114,-0.07885465
Subject_27,0.60624164,-0.45048177,0.3087716
Subject_28,0.8104926,-1.5667422,0.11580849
Subject_29,0.91176516,0.095296614,0.14594154
Subject_30,0.16063641,-0.52588105,0.57436806
Subject_31,-0.083313696,0.3117596,0.8062439
Subject_32,-0.73918796,-1.1880193,-0.28949976
Subject_33,1.1481265,0.5981298,-1.549183
Subject_34,-0.5286001,-0.13529266,-0.49750102
Subject_35,-0.25151265,-0.12046893,-0.30722058
Subject_36,0.5508014,0.50409466,0.41472352
Subject_37,0.79266894,0.9686377,0.074398875
Subject_38,-0.26836884,0.6721809,0.7913093
Subject_39,-0.1487912,0.6870647,0.79372877
Subject_40,1.5922972,-0.28715435,0.4389243
Subject_41,0.27266702,-0.22071503,-0.15029475
Subject_42,1.1589826,0.8679255,0.04706837
Subject_43,0.945402,0.21406217,-0.45739585
Subject_44,-0.6947978,0.23170762,0.3415999
Subject_45,0.89114064,0.031643767,-0.37470052
Subject_46,-0.595454,0.64524984,0.6584968
Subject_47,-0.9169972,-0.13447222,-0.49926332
Subject_48,-0.7081332,-0.14127626,0.45152298
Subject_49,-0.6546989,0.51774067,-0.13974714
Subject_50,-0.8163347,-0.7140645,-0.3947284
Subject_51,1.3260406,-0.7568017,-0.18723018
Subject_52,1.4883206,-0.33518928,-0.45022935
Subject_53,0.31078726,-0.26076996,-1.0073445
Subject_54,0.13769946,-0.47573468,-0.5288626
Subject_55,-0.32644552,0.27406707,1.2330194
Subject_56,-0.5108588,-0.6068308,0.38554797
Subject_57,0.59339994,-0.6364269,0.14255832
Subject_58,-1.2178752,1.7284546,0.34251705
Subject_59,-0.6384415,-0.18104671,-0.53912824
Subject_60,-0.36763117,0.10635389,-0.40911746
Subject_61,-0.18603165,0.98854756,-0.02473412
Subject_62,-0.5985998,-0.46215475,-1.045386
Subject_63,0.13825554,-0.44110107,0.05492653
Subject_64,0.17374298,0.7917968,1.7496864
Subject_65,0.7932659,0.046601716,0.105975024
Subject_66,0.58790386,-1.0481844,-0.29777244
Subject_67,0.34669653,-0.16485584,0.3084926
Subject_68,-0.533607,-0.81295484,-0.8854709
Subject_69,-1.0454962,-0.6747057,-1.327606
Subject_70,-0.18558335,0.14566524,-0.36267382
Subject_71,0.37602612,-0.0011099481,0.24189408
Subject_72,1.0819569,0.32415435,-0.09114946
Subject_73,0.6263585,-0.41783616,-0.53638464
Subject_74,-0.015408142,0.2458152,-0.033383433
Subject_75,0.72839975,-0.19535327,-0.20173807
Subject_76,0.05828187,-0.010775413,-0.09612409
Subject_77,0.5252934,0.0898926,0.5263369
Subject_78,0.55900484,-0.09213549,0.39363754
Subject_79,-0.24302585,-0.86259425,-0.3757358
Subject_80,-0.5799619,0.72933394,1.3689699
Subject_81,0.30009374,-0.57274884,-1.1355351
Subject_82,0.7074719,-0.32390746,-1.082548
Subject_83,0.10813123,-0.47764426,0.38855597
Subject_84,-0.74076456,-0.15083218,1.3729779
Subject_85,-0.4135129,-0.21419582,0.9781404
Subject_86,0.28290278,-0.97158796,-0.896551
