Subject_ID,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5
Subject_1,-0.7300052,-0.17104033,0.6960066,-0.24027985,0.17450263
Subject_2,0.5264163,2.0488508,0.033032317,1.1831286,-0.9759943
Subject_3,-0.020798491,0.48940483,0.06921968,-1.2527068,0.5181702
Subject_4,-0.42804456,0.26812783,0.018262547,-0.4149229,-0.015243181
Subject_5,-0.16876687,-0.95533997,0.9229634,-0.65479535,-1.3889177
Subject_6,0.016601462,0.019844694,-0.12087593,0.22170296,-0.4001143
Subject_7,-0.3892117,0.72886235,-1.1178412,0.012754491,0.70969576
Subject_8,-0.06841804,-0.5124753,1.7307227,0.16819961,-0.029879276
Subject_9,-0.88182414,-0.438921,-0.68888736,0.19302356,-0.19561498
Subject_10,0.43403104,0.28900203,-0.22270739,0.4459833,-1.6203183
Subject_11,0.04881708,0.34036928,0.5088792,-0.31274375,0.85946006
Subject_12,0.39868298,-0.68380487,0.6607561,0.026108012,0.04325336
Subject_13,-0.9762724,-0.030411161,-0.47378588,0.3038117,-0.7704748
Subject_14,0.4798791,0.6725719,1.0913255,0.79530966,0.6393204
Subject_15,0.24862763,-0.2731675,-0.7412115,0.0076412773,1.2277558
Subject_16,-0.16071264,0.5361774,-0.47560945,-0.9223965,0.3354988
Subject_17,-0.12360768,-0.25538254,0.39824307,1.6542343,1.1604136
Subject_18,0.6752013,-2.7951066,-1.40962,-0.7334881,1.3443816
Subject_19,0.34309298,-1.391989,0.44903526,-1.0305424,-0.26844096
Subject_20,-0.53879577,-0.2806161,-0.04135283,0.054576233,-0.37521547
Subject_21,0.805902,0.59594893,-0.38539428,0.45537335,0.6447254
Subject_22,-0.3814613,-0.1352213,-0.19933516,-1.3356398,-1.0950711
Subject_23,1.1864783,-0.8069004,-0.6380488,0.50210387,-0.47862408
Subject_24,-0.21788502,0.6135808,0.19415393,0.6361583,-0.4902062
Subject_25,0.071341105,-0.3528528,-0.4047842,0.543301,-0.30302343
Subject_26,-0.0744023,-0.7810009,0.3551164,-0.11744677,-0.24231313
